cell_type,Gene ID,ANK1,BIM/BCL2,CCDC124,CD105/ENG,CD110/MPL,CD117/KIT,CD34,CD36,CD38,CD41/ITGA2B,CD42/GP1BA,CD44,CD47,CD61/ITGB3,CD71/TFRC,CD9,CDK4,CDK6,CLU,CNRIP1,CTNNB1,CXCR4,DDB1,DHRS3,EIF4EBP1,ETS1,FHL1,FOG1/ZFPM1,FOXO3,GABPA,GATA1,GATA2,GFI1B,HIF1A,HPRT1,JAK2,KLF1,LOX,LSD1/KDM1A,MCL1,MEIS1,MYB,P27KIP1/CDKN1B,PIM1,RGS18,RUNX1,SDPR,SELP,SPI1,SRD5A3,TAL1,TGFB1,TMEM180/MFSD13A,TMOD1,TUBB2A,VWF,pc1,pc2
MEP,A1P1MEP-B10_a1p1,0,0,0,0,17.66585169,0,16.49961281,0,18.82106339,0,14.12827299,14.66828768,0,0,14.22714331,0,17.80377843,14.95622809,18.2990561,17.96255138,15.58765685,16.34996546,17.71018205,0,14.48958662,0,0,16.76437358,18.12295432,16.8586313,14.90882413,13.66509727,14.57789685,14.76600727,16.90183747,21.24281751,0,17.43805535,14.89660719,16.15031485,17.88119949,16.2269121,17.90020303,18.17124883,13.59795853,16.18678187,16.82792844,17.48429002,15.50180296,16.53485713,15.44428657,13.22596752,16.8066823,0,0,15.69643623,0.157067636110819,-2.71955768227576
MEP,A1P1MEP-B11_a1p1,0,0,18.65365113,19.25690994,0,18.97305339,16.63026156,0,0,0,0,15.85848404,0,0,15.34269201,19.76614867,0,16.10055488,18.95677504,0,16.38676101,16.90289861,19.19502169,0,17.90031145,17.68986969,0,0,0,0,0,17.92551433,19.68656809,0,18.72792899,0,0,0,16.72047078,15.89635255,19.5099775,17.13886531,17.66494509,0,0,16.08371355,0,16.85767993,0,21.11037739,0,15.70644972,18.87547749,0,0,0,-2.65824329278889,-1.96530290383343
MEP,A1P1MEP-B12_a1p1,21.10252145,0,21.95503975,26.0825818,0,22.7379548,24.47360705,24.59208968,25.28314672,21.63277373,25.17627292,0,26.71631832,0,21.95709194,0,24.57580912,22.26505615,0,24.01031689,23.26973425,0,24.33846946,23.98443388,23.82635905,0,0,25.41635988,0,25.39212463,22.7823912,23.75613533,26.79173343,24.45589534,25.26009002,23.71043622,25.65442214,0,21.79052131,24.97300795,0,21.84943675,0,26.37984431,24.54649919,23.28165166,26.93869024,23.73712781,25.41207679,28.29053689,0,20.59718039,0,22.87639756,0,0,7.91485476781363,-6.49679151081101
MEP,A1P1MEP-B2_a1p1,0,0,0,0,0,0,14.78417106,0,18.26914156,0,0,14.41425038,0,0,16.31247158,0,0,14.04362403,0,17.77296446,0,18.5113412,17.74934999,0,17.64994976,15.99134077,15.42438824,0,0,17.26304101,0,14.46562099,15.02183959,15.51633099,18.99856572,0,0,16.22795372,14.88914196,16.26803154,18.16201546,13.06961019,18.1829145,18.95543147,15.339383,14.39657131,18.24634732,16.28306387,14.77568175,16.15599849,19.44551147,14.12739061,0,0,17.20347122,0,-0.996882109522263,-1.27634778204975
MEP,A1P1MEP-B3_a1p1,0,0,0,0,0,18.80162005,15.57947186,0,0,0,0,14.09801609,0,0,16.31344231,0,18.47572777,15.52596506,0,0,18.84763059,0,22.44243498,0,0,15.72095517,15.38996765,0,0,0,0,17.36626206,18.62897812,0,18.97898262,19.55078465,0,16.68600012,16.66206889,17.90485442,0,14.69395037,17.907161,0,0,15.42690764,0,15.28600318,16.56564993,16.86372996,17.0200223,14.4542067,0,18.3428779,0,0,-1.75861505593352,-0.993500857911156
MEP,A1P1MEP-B4_a1p1,0,0,0,18.60767129,19.52980811,17.20729203,16.21020136,0,22.90334793,17.80277065,19.43219034,15.62335626,0,0,18.40346138,18.95960406,0,15.44783413,18.30260299,0,17.19109861,17.94893384,18.26943797,0,17.18577319,0,0,17.54242325,0,16.57180238,0,17.4565556,18.73053683,0,19.50049474,19.93919733,0,17.43507972,16.36905146,14.76926872,17.86121572,14.59326142,16.99569212,19.99440527,17.86674468,16.08313026,0,15.678255,16.78939241,18.39716545,0,15.30156419,16.44424881,0,0,0,-0.983494455455131,-3.58829890450701
MEP,A1P1MEP-B5_a1p1,13.82318043,20.91951742,0,15.85129184,0,17.21542621,16.77464442,0,19.73031083,12.65397864,19.83144866,16.344082,0,0,15.58783457,0,16.75952798,15.28803111,20.01741258,15.08176282,16.38159068,0,16.38231181,16.61711089,16.77776081,0,0,16.99367514,19.46740019,17.51031946,14.75966858,14.77025248,0,0,16.57769648,16.80086179,18.36407736,0,15.24659485,17.4639361,17.30138435,13.28966097,17.54918928,0,16.43342206,14.82727443,0,0,17.53918791,0,15.70793839,14.3206284,19.85258512,17.20947565,0,17.43893259,3.56390272912418,-1.34394220456782
MEP,A1P1MEP-B6_a1p1,12.42172043,17.6983878,0,0,0,14.54976181,16.36974041,13.76265496,16.86409601,12.04476659,17.10870636,0,15.27145453,0,12.63205433,0,16.43084538,13.90126637,17.63619127,13.08721077,14.70061077,13.30373499,16.87413306,14.46858855,16.89006132,0,0,0,19.20378318,15.40220351,14.19022841,15.33642803,14.99381437,15.7589949,16.82770362,15.22104291,15.26144986,0,14.25737093,15.28194958,0,12.40573842,16.08049242,19.84873229,13.96816172,14.30551978,15.48189143,0,16.38216029,16.05335693,14.38667286,13.11411563,16.59610827,14.93559868,24.49249078,0,4.63554887297849,0.245603272129043
MEP,A1P1MEP-B7_a1p1,0,0,0,0,17.36299661,0,18.69846963,0,17.50032193,12.04711243,18.29111646,15.48037346,0,0,14.3199124,0,16.50332317,13.66794887,16.55031339,14.96704826,16.15322816,16.59478477,17.04809402,0,16.79281611,15.64172272,16.66687198,16.51588496,19.55776059,0,14.40641605,13.09313686,0,0,18.15763955,18.18800247,17.61073548,16.85508929,14.94947902,14.9668914,0,15.51639722,0,18.49330385,14.58846901,14.32783098,0,16.14177692,15.18899037,0,15.08630277,12.51580911,0,0,0,0,0.384319765269133,-1.00548509151547
MEP,A1P1MEP-B8_a1p1,0,0,17.67029149,16.6206736,18.81781858,18.9917425,15.20373658,0,18.84650122,17.59528121,24.29632983,14.5967003,0,0,18.66083111,18.87618451,18.76858055,15.42616033,20.90763094,0,16.5715606,16.9435618,19.80696794,0,0,15.86883593,0,0,19.3148298,17.37439748,0,16.87390245,16.54172585,0,19.14529304,0,0,16.43494002,17.46795503,17.90431756,18.25256797,15.99151347,0,20.27734003,0,17.11856784,18.95291033,16.56029464,15.46360078,18.56676846,18.59221683,14.93310837,0,0,0,0,-2.16974556892708,-3.25218582690568
MEP,A1P1MEP-B9_a1p1,0,0,0,0,18.55144625,0,15.9212975,0,0,0,17.91312572,15.81893516,17.71857111,0,14.91195727,0,16.7731503,14.5396498,19.18034503,16.64347549,16.94322883,0,17.05685194,0,17.41909672,16.06993167,17.63262393,0,0,15.50133711,15.31845317,15.09130347,15.89748788,0,0,17.18310753,0,0,15.39041997,16.30538896,17.87214545,16.49747969,22.32414256,21.82105555,16.44416611,15.05033024,0,16.13249451,16.92829924,17.47311234,15.89055719,14.07139732,0,0,0,0,-0.768104132039179,-2.21697711775852
MEP,A1P1MEP-C1_a1p1,13.01613392,0,0,17.9369445,0,14.80205662,0,14.52019023,0,14.40734331,19.61810905,16.87638047,0,0,13.12841997,0,16.13900412,13.87045628,0,15.80629358,16.10246074,14.0336145,17.00666507,15.63624489,17.48701375,0,15.67289918,0,0,18.17959293,14.94151959,16.28870386,14.06595904,0,16.75884948,17.58794319,17.80731758,0,14.77665873,15.63108108,0,13.82446562,17.65767138,0,0,14.69994326,0,0,17.10977112,16.36837678,16.33097244,13.7916134,0,16.56829365,0,0,3.04622815965768,1.12120961809325
MEP,A1P1MEP-C10_a1p1,0,0,0,17.88406762,18.99725237,17.47354987,15.50333898,0,0,0,18.9986019,13.26922834,0,0,18.07418983,17.14083949,0,14.8534694,18.70132442,0,16.72863329,0,17.82805808,0,0,14.54350203,0,0,21.85008882,17.43875394,0,15.97242338,17.83630326,16.46076463,0,17.39898217,0,0,16.48035363,14.65825862,18.16741113,14.84228883,15.2499383,21.5256899,18.01105439,15.70845434,15.71145125,0,0,17.77636046,0,14.23754503,0,0,0,0,-2.30577144467684,-2.47954234626461
MEP,A1P1MEP-C11_a1p1,0,21.01242407,17.61601976,18.28856943,21.04056718,16.70835375,14.56058696,0,0,0,19.41862292,12.91391045,0,0,14.71072245,17.06035741,0,15.02245845,20.33794343,0,16.90056578,16.66215661,18.59512157,0,16.98164297,0,15.80546325,0,19.38711578,17.76743456,0,16.02242179,0,15.96091921,0,18.72977663,0,18.13869676,16.01420347,14.80316791,0,14.85520941,15.47056893,19.89958506,0,14.73631165,18.64138776,16.13363352,15.76876818,16.60428977,18.32887609,14.26524579,0,19.19748371,17.89611985,0,-1.9315449251762,-1.73363916250576
MEP,A1P1MEP-C12_a1p1,0,0,0,0,22.26183181,19.86560459,17.5359667,0,21.18246033,20.148744,20.50858618,18.16357718,0,0,18.94755581,0,0,19.06729416,18.18555206,19.86539056,18.73155564,0,21.46150948,0,19.20604374,19.99466666,22.85069133,0,0,21.76527053,18.4050968,18.05140311,19.55083187,20.76255252,20.72673731,21.22999283,0,0,17.84765134,19.56285897,19.17425194,17.83050729,23.12811729,0,21.12349072,18.43848456,20.19627564,17.89806156,0,23.07895117,20.49668761,16.13265135,0,20.47795781,0,0,1.762023621895,-5.57021526376334
MEP,A1P1MEP-C2_a1p1,0,0,16.42512336,0,19.19828563,18.05025104,14.99475208,0,18.76324141,0,17.76104033,13.80740754,0,0,15.39304103,16.59218236,0,15.23286126,18.84140652,0,17.77856623,0,0,0,17.37591993,13.81207744,0,0,0,16.66901948,0,16.62883536,15.63415726,0,16.87721167,0,0,17.16959423,16.74983238,15.22834434,0,14.40496397,0,0,17.28752942,14.82995818,0,0,14.75465377,0,17.65084658,14.22959263,0,0,0,0,-2.43659434318215,-1.3021496974177
MEP,A1P1MEP-C3_a1p1,0,0,0,15.80846991,19.67289708,17.84695568,15.11949412,0,18.45624218,0,0,13.59269378,0,0,0,18.64929071,0,17.85168073,0,0,17.53395351,15.8660842,19.33664223,0,18.21061978,15.58027029,14.35706607,0,20.78675438,18.08855597,0,17.77783217,0,0,18.74455276,0,0,17.82600716,15.99668523,14.83271523,0,16.42224478,17.05431699,0,0,16.35551777,0,15.50760651,16.3997931,18.29501414,18.12153879,13.87016882,23.39031104,0,0,0,-2.79422025685474,-1.7072297394671
MEP,A1P1MEP-C4_a1p1,0,0,17.18190665,15.94806501,18.31677472,0,16.44403443,0,0,0,18.84440742,14.48193773,0,0,16.91865563,17.76410009,0,15.60452607,18.83900533,0,15.76549457,17.32269514,18.97811526,0,0,15.33004958,17.16706613,0,19.47042801,17.9127551,0,14.44003273,16.35568142,0,18.57558146,0,0,0,15.58304442,16.17578944,0,15.37282752,17.13038224,0,14.88912323,14.55700481,0,16.76543393,0,0,17.92848192,17.27051828,0,17.84629747,0,17.35934962,-2.81374592376903,-1.67265613805059
MEP,A1P1MEP-C5_a1p1,0,0,16.68986895,17.78222032,17.70840734,0,18.81292339,0,20.5730825,17.19414739,17.38554482,18.08331177,0,0,17.15336975,17.33838653,0,14.04452373,19.78217223,16.373691,15.06113756,26.21394365,18.381423,0,0,15.40102827,15.48786916,16.97156944,18.49024022,18.0883278,15.51187711,16.05557883,15.68464554,14.81283743,18.48205435,18.05625887,0,0,15.26137357,16.426383,0,15.3386582,17.3148036,21.35454692,15.28079208,14.95513095,16.04158037,0,0,0,16.86832081,12.99687106,17.64972081,0,0,15.86869278,0.697025891249259,-3.2330239460254
MEP,A1P1MEP-C6_a1p1,0,0,0,17.85798035,18.46031147,17.58343083,16.56134111,0,0,0,0,13.54236043,0,0,16.77192558,0,0,16.08943572,18.71190964,0,16.09884862,16.72507417,18.79459662,0,17.78221775,0,15.84174089,0,21.78523513,0,0,15.98311913,17.26213341,0,0,18.05426292,0,0,17.11268647,15.93733091,18.55666548,16.91105785,17.13857472,0,0,17.0950015,16.39199951,15.86614069,16.71310434,0,18.0856155,15.30659138,0,0,0,0,-2.02400931332351,-2.81786816575567
MEP,A1P1MEP-C7_a1p1,0,20.4844145,0,0,18.29618113,16.71381692,16.07064232,0,0,0,17.87624747,13.71849561,0,0,0,16.81493348,0,14.96119254,17.66769313,0,16.47835703,18.49217323,19.1041512,0,17.49913857,0,15.43786744,0,0,0,0,15.18680664,15.33158268,0,0,17.08965125,0,17.38693232,15.01539748,16.53082562,0,14.23809602,0,20.55501819,0,15.37726717,0,16.97958823,16.54270503,0,16.64249091,12.92746795,0,0,0,0,-3.13445130599426,-1.0997582508022
MEP,A1P1MEP-C8_a1p1,0,0,0,0,0,18.99393057,15.14333179,0,0,0,0,14.50373158,0,0,16.22591424,18.4899213,0,15.16570357,19.62675238,0,17.00437926,17.76928046,17.84950147,0,0,0,16.10459396,0,19.7463409,18.35925375,0,18.22103588,16.24069644,0,18.17933501,0,0,17.32894569,16.64190796,17.09850025,18.60381689,15.468615,19.81261142,0,18.73832211,15.98287228,0,17.96644358,15.85443271,17.32251607,18.24952062,14.96882221,0,0,0,0,-2.89517814351194,-2.68887793022687
MEP,A1P1MEP-C9_a1p1,0,0,0,0,17.83342765,15.18620415,14.44279825,0,0,0,20.70392051,14.06001164,0,0,14.60767154,16.91511043,0,14.43768705,16.67360342,0,17.59446226,15.82918935,16.85506426,0,16.46404345,0,15.71059901,0,22.93683666,17.99380733,0,17.19300082,0,15.69535896,17.60396046,0,0,16.04490213,14.80390408,14.67064725,0,14.44924296,0,20.35010908,17.72173891,14.47554728,17.92346924,17.94680568,15.43278521,16.48906742,18.54262658,13.23943656,18.2875465,0,0,0,-3.06205945750976,-2.84781191080401
MEP,A1P1MEP-D1_a1p1,0,0,0,16.93935364,19.7852332,16.65197034,15.15525179,0,0,0,17.62171667,13.99835821,0,0,16.36141338,17.31015702,0,16.60227165,0,0,16.14129038,16.87304208,0,0,17.79871081,0,15.14591191,17.3385885,0,16.40692698,0,0,17.11524463,16.25272817,0,18.70196909,0,17.64328179,16.0423328,0,0,15.55866025,18.88220857,0,0,15.32033786,0,15.38047905,17.56419097,17.7282175,0,14.89225608,17.26517995,0,0,0,-2.99964668758769,0.183293034896791
MEP,A1P1MEP-D10_a1p1,13.54180351,20.07918449,16.656,0,0,16.12946355,0,12.8700508,18.88808394,13.63672986,18.62952793,15.58473838,0,0,13.06008616,0,23.60983111,14.25113787,18.14398642,14.37015615,14.74506928,0,16.01664562,15.01806023,17.28002928,14.39976905,14.96483416,16.64070665,19.68815566,0,14.46750939,16.60065359,15.53955746,0,16.39690287,17.12533595,15.16273795,0,14.43115597,16.6534543,0,13.11201727,15.37580201,0,17.52211458,14.7241389,0,14.85412727,16.75678022,16.4714303,15.89344936,13.70426664,17.27848842,16.1030066,16.26853614,0,4.93017661635826,0.389646264697964
MEP,A1P1MEP-D11_a1p1,0,0,17.46434328,0,20.44846097,15.22099107,15.89727295,0,19.86629035,0,19.30532858,13.62933744,0,0,18.41821322,18.01994744,0,15.89148801,18.26642606,0,17.7009044,17.64406777,19.07805669,0,0,16.00025493,15.48390823,17.533444,21.33828122,0,0,16.65911678,17.53392068,0,17.75313484,18.44980994,0,0,16.460966,14.86532897,17.71395524,16.07153194,17.99872654,0,16.92209346,15.74878492,17.34199936,16.75104836,16.7862968,18.31211285,17.49648581,15.60458058,0,0,19.30875528,0,-1.94042408286332,-3.10209253916192
MEP,A1P1MEP-D12_a1p1,0,0,0,17.71930997,18.73675747,0,14.94677744,0,22.43635489,0,17.19660081,14.29855659,0,0,17.19430157,18.02623984,0,14.771536,17.61397704,0,16.38034658,26.88716897,19.22943778,0,17.5756431,0,16.56859028,0,22.60393975,20.9961339,0,16.13423963,16.31387225,0,0,0,0,17.75307278,15.70396992,0,16.96470428,15.47052676,0,19.74596425,16.8409785,16.67645813,16.04835361,16.36854121,15.84093251,21.54887539,17.63864864,14.84081401,0,17.9336022,25.12389632,15.14283598,-2.67777113092679,-1.5620486310229
MEP,A1P1MEP-D2_a1p1,0,20.84589923,16.74952127,17.76434779,17.735679,18.52473599,14.8009486,0,0,13.11744444,16.6261229,17.88023399,0,0,16.43277754,0,0,14.91880538,19.13517197,16.51888922,16.18540384,15.0709895,16.64369565,0,16.09136965,0,14.85206571,0,19.67634979,15.72692877,16.2483259,16.0149452,15.83758526,0,0,0,0,0,15.24311781,16.21720268,18.14685744,14.7058412,17.02248265,0,13.63837519,14.56793281,0,17.48167943,15.03621933,17.97251836,16.61238144,12.64503471,17.54593958,0,19.85959249,0,0.253699050118833,-1.93742784339551
MEP,A1P1MEP-D3_a1p1,0,0,0,18.38982375,19.36876584,17.73369647,15.19045516,0,20.05975818,0,19.06904852,13.29927997,0,0,17.97590543,17.11736443,0,14.23624835,0,0,16.38247915,17.97644389,18.46054612,0,17.82704491,13.6702949,0,0,0,0,0,0,17.8103522,0,0,0,0,0,15.6558711,16.29497775,0,15.36017953,16.01450993,21.06432929,0,14.89169632,0,17.87452906,16.6658756,17.9047303,17.12836274,14.55088803,17.41720719,0,0,0,-2.56916035359281,-1.41759742167907
MEP,A1P1MEP-D4_a1p1,0,0,0,16.03447447,18.40091529,17.53818481,15.33960462,0,0,0,17.99012501,13.76591652,17.69742153,0,17.13225807,0,0,18.4047121,17.71042511,0,16.6181042,0,20.03757599,0,0,14.07915288,15.39076941,0,20.00965377,17.21841666,0,0,18.21883965,16.76886013,18.94290176,0,0,0,15.65181823,15.95514459,18.12686673,16.38120611,15.45760408,0,0,15.01702323,16.45129091,16.66134209,15.93816109,0,24.60253923,15.13502913,0,0,0,0,-2.2036295416956,-2.40323531844435
MEP,A1P1MEP-D5_a1p1,0,0,0,0,18.68099978,18.36048306,18.25744395,0,0,0,19.41017785,14.99266135,0,0,17.8900087,16.25397115,17.88676391,16.14898838,18.1813648,0,16.99912382,14.60189371,18.71705765,0,0,16.21252774,0,0,18.86043645,0,0,17.36267724,0,15.78923092,0,19.89713894,0,0,17.63600088,15.17494679,17.90895135,0,16.84689945,0,15.93755965,15.35064407,0,0,15.96926147,16.13824155,17.34654584,15.90764626,0,16.5066658,27.1244866,14.85366371,-2.19308309792719,-1.93862168418713
MEP,A1P1MEP-D6_a1p1,0,0,16.53608937,18.30574324,16.85707864,17.65967663,15.31670525,0,0,17.40511399,18.860161,13.20496091,0,0,0,16.00868697,17.9430798,16.07338028,18.3709689,0,0,0,19.49874183,0,0,16.13245302,0,0,20.70460648,17.45154314,0,15.06246178,16.19707765,0,0,21.92312641,0,0,15.81594269,16.09742443,17.13885568,16.32728877,17.43022664,19.92319196,0,16.20403454,16.29342008,15.54999047,0,24.70410455,16.86656033,14.42818794,0,18.18450989,0,0,-1.82451760526362,-2.32473239138025
MEP,A1P1MEP-D7_a1p1,13.329769,0,15.08980415,15.84928368,15.31460251,0,15.41305881,0,0,10.52584033,15.8709344,14.61965056,0,12.79652737,16.52161366,15.90615086,15.56326303,13.87392983,18.66207727,0,14.85820335,17.72766905,15.33174672,0,13.6544789,13.17177681,16.18052023,0,0,17.89329244,13.9754787,11.76509701,15.73953098,13.26737477,18.11568736,16.49481632,0,16.01440057,14.03813152,13.89183004,16.5121556,16.05644556,14.56638369,17.97100632,12.80777002,13.23772394,0,0,0,16.54871053,14.25083086,10.5707998,0,0,0,0,-0.45316529812889,-0.970779380506727
