sample_id,cell_type
A2P3-7141-E3_a2p3,7141
A2P3-7141-E4_a2p3,7141
A2P3-7141-E5_a2p3,7141
A2P3-7141-E6_a2p3,7141
A2P3-7141-E7_a2p3,7141
A2P3-7141-E8_a2p3,7141
A2P3-7141-E9_a2p3,7141
A2P3-7141-F1_a2p3,7141
A2P3-7141-F10_a2p3,7141
A2P3-7141-F2_a2p3,7141
A2P3-7141-F3_a2p3,7141
A2P3-7141-F4_a2p3,7141
A2P3-7141-F5_a2p3,7141
A2P3-7141-F6_a2p3,7141
A2P3-7141-F7_a2p3,7141
A2P3-7141-F8_a2p3,7141
A2P3-7141-F9_a2p3,7141
A2P3MEP-F11_a2p3,MEP
A2P3MEP-F12_a2p3,MEP
A2P3MEPG1_a2p3,MEP
A2P3MEPG2_a2p3,MEP
A2P3MEPG3_a2p3,MEP
A2P3MEPG4_a2p3,MEP
A2P3MEPG5_a2p3,MEP
A2P3MEPG6_a2p3,MEP
A3P3-7141-A1_a3p3,7141
A3P3-7141-A10_a3p3,7141
A3P3-7141-A11_a3p3,7141
A3P3-7141-A12_a3p3,7141
A3P3-7141-A2_a3p3,7141
A3P3-7141-A3_a3p3,7141
A3P3-7141-A4_a3p3,7141
A3P3-7141-A5_a3p3,7141
A3P3-7141-A6_a3p3,7141
A3P3-7141-A7_a3p3,7141
A3P3-7141-A8_a3p3,7141
A3P3-7141-A9_a3p3,7141
A3P3-7141-B1_a3p3,7141
A3P3-7141-B10_a3p3,7141
A3P3-7141-B11_a3p3,7141
A3P3-7141-B12_a3p3,7141
A3P3-7141-B2_a3p3,7141
A3P3-7141-B3_a3p3,7141
A3P3-7141-B4_a3p3,7141
A3P3-7141-B5_a3p3,7141
A3P3-7141-B6_a3p3,7141
A3P3-7141-B7_a3p3,7141
A3P3-7141-B8_a3p3,7141
A3P3-7141-B9_a3p3,7141
A3P3-7141-C1_a3p3,7141
A3P3-7141-C10_a3p3,7141
A3P3-7141-C11_a3p3,7141
A3P3-7141-C12_a3p3,7141
A3P3-7141-C2_a3p3,7141
A3P3-7141-C3_a3p3,7141
A3P3-7141-C4_a3p3,7141
A3P3-7141-C5_a3p3,7141
A3P3-7141-C6_a3p3,7141
A3P3-7141-C7_a3p3,7141
A3P3-7141-C8_a3p3,7141
A3P3-7141-C9_a3p3,7141
A3P3-7141-D1_a3p3,7141
A3P3-7141-D10_a3p3,7141
A3P3-7141-D11_a3p3,7141
A3P3-7141-D12_a3p3,7141
A3P3-7141-D2_a3p3,7141
A3P3-7141-D3_a3p3,7141
A3P3-7141-D4_a3p3,7141
A3P3-7141-D5_a3p3,7141
A3P3-7141-D6_a3p3,7141
A3P3-7141-D7_a3p3,7141
A3P3-7141-D8_a3p3,7141
A3P3-7141-D9_a3p3,7141
A3P3-7141-E1_a3p3,7141
A3P3-7141-E10_a3p3,7141
A3P3-7141-E11_a3p3,7141
A3P3-7141-E12_a3p3,7141
A3P3-7141-E2_a3p3,7141
A3P3-7141-E3_a3p3,7141
A3P3-7141-E4_a3p3,7141
A3P3-7141-E5_a3p3,7141
A3P3-7141-E6_a3p3,7141
A3P3-7141-E7_a3p3,7141
A3P3-7141-E8_a3p3,7141
A3P3-7141-E9_a3p3,7141
A3P3-7141-F1_a3p3,7141
A3P3-7141-F10_a3p3,7141
A3P3-7141-F2_a3p3,7141
A3P3-7141-F3_a3p3,7141
A3P3-7141-F4_a3p3,7141
A3P3-7141-F5_a3p3,7141
A3P3-7141-F6_a3p3,7141
A3P3-7141-F7_a3p3,7141
A3P3-7141-F8_a3p3,7141
A3P3-7141-F9_a3p3,7141
A3P3MEP-F11_a3p3,MEP
A3P3MEP-F12_a3p3,MEP
A3P3MEPG1_a3p3,MEP
A3P3MEPG2_a3p3,MEP
A3P3MEPG3_a3p3,MEP
A3P3MEPG4_a3p3,MEP
A3P3MEPG5_a3p3,MEP
A3P3MEPG6_a3p3,MEP
