Gene ID,pc1,pc2
A1P1MEP-A1_a1p1,-1.78198499855482,-5.21168109707063
A1P1MEP-A10_a1p1,2.21025630988504,-3.9074423746518
A1P1MEP-A11_a1p1,-3.89919095602166,-3.02916001278816
A1P1MEP-A12_a1p1,-2.35584872101977,-2.51685603579395
A1P1MEP-A2_a1p1,-1.6561663612626,-2.5635346327029
A1P1MEP-A3_a1p1,-2.21195955059414,-2.74193671303929
A1P1MEP-A4_a1p1,-2.35339706035322,-3.11113101619071
A1P1MEP-A5_a1p1,-2.20207004064543,-2.50732532124246
A1P1MEP-A9_a1p1,2.17313245390301,-2.3575748385213
A1P1MEP-B1_a1p1,-2.53250424701858,1.13083072889812
A1P1MEP-B10_a1p1,0.157067636110819,-2.71955768227576
A1P1MEP-B11_a1p1,-2.65824329278889,-1.96530290383343
A1P1MEP-B12_a1p1,7.91485476781363,-6.49679151081101
A1P1MEP-B2_a1p1,-0.996882109522263,-1.27634778204975
A1P1MEP-B3_a1p1,-1.75861505593352,-0.993500857911156
A1P1MEP-B4_a1p1,-0.983494455455131,-3.58829890450701
A1P1MEP-B5_a1p1,3.56390272912418,-1.34394220456782
A1P1MEP-B6_a1p1,4.63554887297849,0.245603272129043
A1P1MEP-B7_a1p1,0.384319765269133,-1.00548509151547
A1P1MEP-B8_a1p1,-2.16974556892708,-3.25218582690568
A1P1MEP-B9_a1p1,-0.768104132039179,-2.21697711775852
A1P1MEP-C1_a1p1,3.04622815965768,1.12120961809325
A1P1MEP-C10_a1p1,-2.30577144467684,-2.47954234626461
A1P1MEP-C11_a1p1,-1.9315449251762,-1.73363916250576
A1P1MEP-C12_a1p1,1.762023621895,-5.57021526376334
A1P1MEP-C2_a1p1,-2.43659434318215,-1.3021496974177
A1P1MEP-C3_a1p1,-2.79422025685474,-1.7072297394671
A1P1MEP-C4_a1p1,-2.81374592376903,-1.67265613805059
A1P1MEP-C5_a1p1,0.697025891249259,-3.2330239460254
A1P1MEP-C6_a1p1,-2.02400931332351,-2.81786816575567
A1P1MEP-C7_a1p1,-3.13445130599426,-1.0997582508022
A1P1MEP-C8_a1p1,-2.89517814351194,-2.68887793022687
A1P1MEP-C9_a1p1,-3.06205945750976,-2.84781191080401
A1P1MEP-D1_a1p1,-2.99964668758769,0.183293034896791
A1P1MEP-D10_a1p1,4.93017661635826,0.389646264697964
A1P1MEP-D11_a1p1,-1.94042408286332,-3.10209253916192
A1P1MEP-D12_a1p1,-2.67777113092679,-1.5620486310229
A1P1MEP-D2_a1p1,0.253699050118833,-1.93742784339551
A1P1MEP-D3_a1p1,-2.56916035359281,-1.41759742167907
A1P1MEP-D4_a1p1,-2.2036295416956,-2.40323531844435
A1P1MEP-D5_a1p1,-2.19308309792719,-1.93862168418713
A1P1MEP-D6_a1p1,-1.82451760526362,-2.32473239138025
A1P1MEP-D7_a1p1,-0.45316529812889,-0.970779380506727
A1P1MEP-D8_a1p1,-1.93225027640489,-1.88598487865457
A1P1MEP-D9_a1p1,-2.69595190589195,-1.54109557600483
A1P1MEP-E1_a1p1,2.74012924768817,-2.41506395659379
A1P1MEP-E10_a1p1,-2.51927383062168,-1.21782895779894
A1P1MEP-E11_a1p1,5.23535470101043,-1.22506766148995
A1P1MEP-E12_a1p1,-1.31761457142584,-5.13882738511924
A1P1MEP-E2_a1p1,-4.24852093365175,2.22111498318733
A1P1MEP-E3_a1p1,-2.45841134163628,-3.18222145630712
A1P1MEP-E4_a1p1,4.78656022587823,-1.77750381212307
A1P1MEP-E5_a1p1,-2.60215870214938,-0.111776084589472
A1P1MEP-E6_a1p1,-2.88508469118475,-0.964329263439257
A1P1MEP-E7_a1p1,-2.25182896837582,0.266825142317551
A1P1MEP-E8_a1p1,-0.695891403141349,-2.75873894590398
A1P1MEP-E9_a1p1,-3.12430296013416,-0.411185959969905
A1P1MEP-F1_a1p1,-2.7689967761357,-3.30178507872539
A1P1MEP-F10_a1p1,-1.06652063130653,-2.44833378629497
A1P1MEP-F11_a1p1,-2.888702745783,-3.29602486797824
A1P1MEP-F12_a1p1,-2.59598603450705,-1.45339999981379
