Gene ID,A1P3-7141-A1_a1p3,A1P3-7141-A10_a1p3,A1P3-7141-A11_a1p3,A1P3-7141-A12_a1p3,A1P3-7141-A2_a1p3,A1P3-7141-A3_a1p3,A1P3-7141-A4_a1p3,A1P3-7141-A5_a1p3,A1P3-7141-A6_a1p3,A1P3-7141-A7_a1p3,A1P3-7141-A8_a1p3,A1P3-7141-A9_a1p3,A1P3-7141-B1_a1p3,A1P3-7141-B10_a1p3,A1P3-7141-B11_a1p3,A1P3-7141-B12_a1p3,A1P3-7141-B2_a1p3,A1P3-7141-B3_a1p3,A1P3-7141-B4_a1p3,A1P3-7141-B5_a1p3,A1P3-7141-B6_a1p3,A1P3-7141-B7_a1p3,A1P3-7141-B8_a1p3,A1P3-7141-B9_a1p3,A1P3-7141-C1_a1p3,A1P3-7141-C10_a1p3,A1P3-7141-C11_a1p3,A1P3-7141-C12_a1p3,A1P3-7141-C2_a1p3,A1P3-7141-C3_a1p3,A1P3-7141-C4_a1p3,A1P3-7141-C5_a1p3,A1P3-7141-C6_a1p3,A1P3-7141-C7_a1p3,A1P3-7141-C8_a1p3,A1P3-7141-C9_a1p3,A1P3-7141-D1_a1p3,A1P3-7141-D10_a1p3,A1P3-7141-D11_a1p3,A1P3-7141-D12_a1p3,A1P3-7141-D2_a1p3,A1P3-7141-D3_a1p3,A1P3-7141-D4_a1p3,A1P3-7141-D5_a1p3,A1P3-7141-D6_a1p3,A1P3-7141-D7_a1p3,A1P3-7141-D8_a1p3,A1P3-7141-D9_a1p3,A1P3-7141-E1_a1p3,A1P3-7141-E10_a1p3,A1P3-7141-E11_a1p3,A1P3-7141-E12_a1p3,A1P3-7141-E2_a1p3,A1P3-7141-E3_a1p3,A1P3-7141-E4_a1p3,A1P3-7141-E5_a1p3,A1P3-7141-E6_a1p3,A1P3-7141-E7_a1p3,A1P3-7141-E8_a1p3,A1P3-7141-E9_a1p3,A1P3-7141-F1_a1p3,A1P3-7141-F10_a1p3,A1P3-7141-F2_a1p3,A1P3-7141-F3_a1p3,A1P3-7141-F4_a1p3,A1P3-7141-F5_a1p3,A1P3-7141-F6_a1p3,A1P3-7141-F7_a1p3,A1P3-7141-F8_a1p3,A1P3-7141-F9_a1p3,A1P3MEP-F11_a1p3,A1P3MEP-F12_a1p3,A1P3MEPG1_a1p3,A1P3MEPG2_a1p3,A1P3MEPG3_a1p3,A1P3MEPG4_a1p3,A1P3MEPG5_a1p3,A1P3MEPG6_a1p3,A2P3-7141-A1_a2p3,A2P3-7141-A10_a2p3,A2P3-7141-A11_a2p3,A2P3-7141-A12_a2p3,A2P3-7141-A2_a2p3,A2P3-7141-A3_a2p3,A2P3-7141-A4_a2p3,A2P3-7141-A5_a2p3,A2P3-7141-A6_a2p3,A2P3-7141-A7_a2p3,A2P3-7141-A8_a2p3,A2P3-7141-A9_a2p3,A2P3-7141-B1_a2p3,A2P3-7141-B10_a2p3,A2P3-7141-B11_a2p3,A2P3-7141-B12_a2p3,A2P3-7141-B2_a2p3,A2P3-7141-B3_a2p3,A2P3-7141-B4_a2p3,A2P3-7141-B5_a2p3,A2P3-7141-B6_a2p3,A2P3-7141-B7_a2p3,A2P3-7141-B8_a2p3,A2P3-7141-B9_a2p3,A2P3-7141-C1_a2p3,A2P3-7141-C10_a2p3,A2P3-7141-C11_a2p3,A2P3-7141-C12_a2p3,A2P3-7141-C2_a2p3,A2P3-7141-C3_a2p3,A2P3-7141-C4_a2p3,A2P3-7141-C5_a2p3,A2P3-7141-C6_a2p3,A2P3-7141-C7_a2p3,A2P3-7141-C8_a2p3,A2P3-7141-C9_a2p3,A2P3-7141-D1_a2p3,A2P3-7141-D10_a2p3,A2P3-7141-D11_a2p3,A2P3-7141-D12_a2p3,A2P3-7141-D2_a2p3,A2P3-7141-D3_a2p3,A2P3-7141-D4_a2p3,A2P3-7141-D5_a2p3,A2P3-7141-D6_a2p3,A2P3-7141-D7_a2p3,A2P3-7141-D8_a2p3,A2P3-7141-D9_a2p3,A2P3-7141-E1_a2p3,A2P3-7141-E10_a2p3,A2P3-7141-E11_a2p3,A2P3-7141-E12_a2p3,A2P3-7141-E2_a2p3,A2P3-7141-E3_a2p3,A2P3-7141-E4_a2p3,A2P3-7141-E5_a2p3,A2P3-7141-E6_a2p3,A2P3-7141-E7_a2p3,A2P3-7141-E8_a2p3,A2P3-7141-E9_a2p3,A2P3-7141-F1_a2p3,A2P3-7141-F10_a2p3,A2P3-7141-F2_a2p3,A2P3-7141-F3_a2p3,A2P3-7141-F4_a2p3,A2P3-7141-F5_a2p3,A2P3-7141-F6_a2p3,A2P3-7141-F7_a2p3,A2P3-7141-F8_a2p3,A2P3-7141-F9_a2p3,A2P3MEP-F11_a2p3,A2P3MEP-F12_a2p3,A2P3MEPG1_a2p3,A2P3MEPG2_a2p3,A2P3MEPG3_a2p3,A2P3MEPG4_a2p3,A2P3MEPG5_a2p3,A2P3MEPG6_a2p3,A3P3-7141-A1_a3p3,A3P3-7141-A10_a3p3,A3P3-7141-A11_a3p3,A3P3-7141-A12_a3p3,A3P3-7141-A2_a3p3,A3P3-7141-A3_a3p3,A3P3-7141-A4_a3p3,A3P3-7141-A5_a3p3,A3P3-7141-A6_a3p3,A3P3-7141-A7_a3p3,A3P3-7141-A8_a3p3,A3P3-7141-A9_a3p3,A3P3-7141-B1_a3p3,A3P3-7141-B10_a3p3,A3P3-7141-B11_a3p3,A3P3-7141-B12_a3p3,A3P3-7141-B2_a3p3,A3P3-7141-B3_a3p3,A3P3-7141-B4_a3p3,A3P3-7141-B5_a3p3,A3P3-7141-B6_a3p3,A3P3-7141-B7_a3p3,A3P3-7141-B8_a3p3,A3P3-7141-B9_a3p3,A3P3-7141-C1_a3p3,A3P3-7141-C10_a3p3,A3P3-7141-C11_a3p3,A3P3-7141-C12_a3p3,A3P3-7141-C2_a3p3,A3P3-7141-C3_a3p3,A3P3-7141-C4_a3p3,A3P3-7141-C5_a3p3,A3P3-7141-C6_a3p3,A3P3-7141-C7_a3p3,A3P3-7141-C8_a3p3,A3P3-7141-C9_a3p3,A3P3-7141-D1_a3p3,A3P3-7141-D10_a3p3,A3P3-7141-D11_a3p3,A3P3-7141-D12_a3p3,A3P3-7141-D2_a3p3,A3P3-7141-D3_a3p3,A3P3-7141-D4_a3p3,A3P3-7141-D5_a3p3,A3P3-7141-D6_a3p3,A3P3-7141-D7_a3p3,A3P3-7141-D8_a3p3,A3P3-7141-D9_a3p3,A3P3-7141-E1_a3p3,A3P3-7141-E10_a3p3,A3P3-7141-E11_a3p3,A3P3-7141-E12_a3p3,A3P3-7141-E2_a3p3,A3P3-7141-E3_a3p3,A3P3-7141-E4_a3p3,A3P3-7141-E5_a3p3,A3P3-7141-E6_a3p3,A3P3-7141-E7_a3p3,A3P3-7141-E8_a3p3,A3P3-7141-E9_a3p3,A3P3-7141-F1_a3p3,A3P3-7141-F10_a3p3,A3P3-7141-F2_a3p3,A3P3-7141-F3_a3p3,A3P3-7141-F4_a3p3,A3P3-7141-F5_a3p3,A3P3-7141-F6_a3p3,A3P3-7141-F7_a3p3,A3P3-7141-F8_a3p3,A3P3-7141-F9_a3p3,A3P3MEP-F11_a3p3,A3P3MEP-F12_a3p3,A3P3MEPG1_a3p3,A3P3MEPG2_a3p3,A3P3MEPG3_a3p3,A3P3MEPG4_a3p3,A3P3MEPG5_a3p3,A3P3MEPG6_a3p3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMP2,NA,NA,NA,NA,NA,19.37916459,NA,NA,NA,NA,NA,18.59879049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.70396129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.13242697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCDC124,NA,16.93087377,NA,NA,NA,NA,NA,16.44244556,NA,NA,NA,NA,18.27590875,NA,NA,14.97960585,15.62185307,NA,14.89884904,16.70837281,NA,15.05892809,NA,15.82863028,15.42358426,NA,16.14216082,NA,16.88040727,15.93716231,NA,NA,NA,NA,15.52910127,NA,NA,15.85050641,13.6052059,NA,NA,NA,14.88087209,NA,NA,15.4220123,16.17599653,NA,13.45262928,14.63096487,16.00028044,NA,15.16989556,14.3860342,NA,16.14789032,NA,NA,16.24845004,16.21403324,15.9571257,NA,NA,NA,NA,16.09103948,NA,14.0788104,NA,15.95233338,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.72336729,NA,24.85382695,NA,NA,NA,NA,NA,NA,NA,NA,15.21018015,NA,NA,16.13032256,NA,16.0442433,16.14897601,15.73882237,NA,NA,NA,NA,NA,NA,16.23233085,15.21832444,NA,15.97813202,15.43542501,NA,15.24400221,NA,16.05883597,NA,NA,16.73400585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.34272331,NA,16.39932547,NA,27.24199892,NA,NA,NA,NA,NA,14.74320457,NA,NA,NA,15.2947169,NA,NA,NA,NA,15.8946999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.77180071,NA,NA,15.74563084,NA,NA,NA,14.23192347,NA,15.38826655,15.78716113,NA,NA,NA,16.48289263,NA,NA,NA,16.62325795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.94072831,NA,NA,NA,16.3593773,NA,NA,15.55071641,NA,15.38264057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.78648799,15.56356926,NA,15.74780945,NA,NA,NA,NA,NA,NA,NA,15.31536852,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCND1/BCL1,NA,NA,NA,NA,NA,NA,24.96986926,NA,17.47075416,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.9203091,NA,15.90029598,NA,NA,18.75353098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.70224328,16.72813481,NA,NA,NA,NA,18.09216104,NA,NA,NA,NA,15.10350571,NA,NA,NA,NA,NA,NA,NA,NA,17.83545073,NA,17.2755138,NA,NA,NA,16.70535757,NA,17.57113518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.01845787,17.58566075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.10636637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.80988719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.75828977,NA,NA,17.00580477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.4227718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.6991561,NA,NA,NA,NA,NA,16.94498544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.80956918,NA,NA,NA,NA,NA,NA,16.74503593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.24124752,NA,NA,NA,18.46035622,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CD105/ENG,15.16662882,16.91818777,NA,17.25435036,15.92479744,17.83799567,NA,17.31969298,NA,16.85047408,16.71770161,16.82602279,15.61519068,16.6701607,16.11084561,NA,12.93013247,17.33268174,16.90793369,16.63478711,15.82976166,15.34343511,NA,13.69620409,13.78382188,16.45208162,NA,14.75109544,17.37755324,16.13760974,NA,NA,NA,18.5922066,15.03124629,NA,15.94376482,17.0306766,14.34725677,14.10093227,14.77749565,NA,NA,15.92794617,15.15676598,13.39143889,NA,13.49106754,12.61270995,15.93423779,16.3349551,14.92667755,14.87155715,13.4905264,14.84172889,16.45680249,NA,16.79311196,NA,16.67873307,NA,16.53534709,NA,16.28791703,24.73311014,15.40963721,NA,12.60794131,16.47702911,16.70313044,16.5503809,19.30276527,16.59777354,NA,14.6586325,16.26515214,16.96332535,25.64039047,NA,18.0824221,21.14608733,NA,18.93102603,15.11037175,15.65522766,NA,15.35949178,14.81227291,NA,NA,14.62834338,NA,16.52428527,24.19877112,NA,NA,16.7320537,NA,NA,16.08742054,NA,17.82860066,16.59263228,NA,NA,NA,17.21052589,21.78622675,NA,NA,14.73013021,16.60478524,16.53470235,27.35166363,15.06486403,17.01425654,NA,NA,16.61817332,16.48118617,16.30413455,NA,NA,14.08413162,21.98882922,NA,NA,NA,16.46475547,NA,16.22010791,NA,NA,15.88266293,NA,16.47908772,14.15327197,14.70693398,16.68821972,15.10655712,NA,NA,16.77275298,14.13510453,14.97134381,17.50782429,NA,15.40506759,15.58666283,NA,14.29045714,14.67654926,14.78209079,NA,15.06234457,14.93469748,14.42268065,14.23278334,NA,NA,15.78704462,15.53210733,15.96913522,16.45924575,NA,15.18783483,25.84042037,21.3019336,20.59552705,15.44451391,NA,NA,NA,NA,14.59992301,NA,NA,13.63475526,NA,NA,14.67359503,17.62949582,14.45365816,16.13272691,17.35552592,16.43090624,NA,NA,NA,16.05649894,NA,15.92198084,NA,NA,15.65158555,NA,14.80773514,14.34295055,NA,NA,16.25893432,13.93434172,NA,15.99397646,18.13379491,15.01397382,15.69290674,NA,13.62682485,14.90068396,14.63340363,NA,NA,15.91167948,14.39605672,16.25217491,16.51788374,NA,14.58912012,14.84556606,15.13674425,NA,14.69181879,NA,16.29215926,17.68215085,17.08510412,16.40541933,14.57458008,13.89894417,14.90514873,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CD110/MPL,16.64053835,18.00373321,NA,NA,16.23589616,16.29228006,16.91964169,NA,NA,17.02265629,16.96033392,15.50821208,NA,15.5983775,16.93147609,14.85033406,NA,15.87504257,18.68290941,15.13386655,17.68589311,NA,16.44011955,16.19570595,16.4131527,16.13982577,18.82519725,15.53720577,16.36458708,15.28747925,NA,NA,16.47531393,16.75945256,18.21688207,15.81110587,17.01458231,15.82258856,15.30531205,NA,15.77776976,14.16126605,16.22104438,16.89378761,17.88280509,15.85125008,NA,NA,13.79541741,NA,NA,NA,15.60716165,NA,NA,18.07057997,14.35197127,NA,17.80697407,16.17061372,NA,17.15014133,15.25876619,14.87218659,18.61454575,16.87013217,NA,17.08564088,16.17887217,16.4189343,17.65719493,16.8828314,17.51292531,17.76845628,16.93614539,NA,16.94092715,14.70340293,14.13113504,20.15708533,23.75834744,24.84435394,21.11283088,18.8020457,16.65352708,15.74376485,17.97706739,17.26413654,22.66020276,NA,16.09755611,16.52162372,17.89365544,16.22361894,NA,16.43295103,15.34439101,16.94668935,15.6792349,14.36333123,16.87461393,21.92055657,NA,17.84479191,NA,16.64130779,15.15475351,NA,16.73526979,14.98671753,16.11498261,15.96640184,16.5903231,NA,NA,17.45348058,15.73435339,NA,NA,16.49047363,NA,18.81649293,NA,14.78167386,15.50381158,NA,NA,16.40111886,17.57371382,17.97007766,16.9457821,NA,17.25965137,16.57464858,14.90798768,16.70821398,17.00854542,18.7936522,18.10132318,16.99443547,NA,NA,15.45481667,16.9987158,14.96865452,16.09520049,15.77409865,15.55390919,NA,17.55030425,NA,NA,NA,NA,17.46596126,NA,13.30217197,NA,24.55397464,22.56586116,16.48709979,16.3295399,15.64320925,16.78945112,17.00601624,NA,16.63306617,23.77850773,15.0148941,17.32604078,17.50993238,17.50968313,16.25220463,16.0406152,15.3572518,17.7690563,15.86640696,NA,NA,18.77148318,17.65706397,15.82064705,NA,17.6262826,16.72066792,17.00649797,16.33137016,16.85758051,17.08750598,18.6236129,15.1733422,NA,14.4584403,15.66118945,16.01128069,NA,16.56867139,14.52414007,NA,15.79380469,NA,17.65574995,15.90782963,17.85132263,NA,15.92725117,NA,16.83708546,18.69357991,NA,17.24557848,NA,15.31480309,18.43071099,16.2033183,17.47312107,19.13306053,15.72770065,18.56550699,15.64734464,17.50229585,18.21357887,16.47252387,16.50404404,NA,15.16813714,19.82125595,17.38856754,NA,NA,17.03366572,NA,NA,18.72985229
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CD117/KIT,17.10067556,18.26954975,NA,17.02184895,16.49252384,NA,NA,17.36005864,17.04585977,NA,18.17240494,NA,NA,15.86258754,NA,NA,12.70373532,17.04164246,NA,16.36442636,16.6422076,14.38004738,NA,NA,NA,NA,17.54448435,NA,17.89032096,NA,NA,NA,NA,NA,NA,NA,14.25360694,17.20503725,14.13528356,11.73657789,16.91455147,15.64400956,NA,NA,15.65624938,16.76666856,13.01265459,14.24504403,NA,15.49770981,15.20899552,13.23139516,NA,13.97085235,15.26820605,15.5860137,NA,14.65452376,15.52314573,16.73740566,12.92298599,15.42831384,16.33531671,14.99207636,17.1734815,15.16160043,NA,13.88679425,NA,17.41072146,17.22578874,16.45291028,15.89580084,17.49764815,15.28980803,NA,14.57082347,NA,NA,17.4756239,NA,NA,17.89884603,15.11261413,16.21087266,15.95938505,16.10668335,NA,23.90737819,26.51126915,17.34457511,16.74785108,14.65222312,NA,14.4628391,15.41161305,18.37823524,15.83653644,NA,14.95461216,16.92025134,NA,16.43164177,16.41453449,NA,14.98024417,14.9879841,15.50385578,16.52986189,16.14699787,NA,15.80592272,NA,NA,14.1148443,NA,16.4928116,17.65797185,17.12349387,NA,16.47163769,NA,15.65530151,NA,NA,NA,16.55775532,16.68027863,NA,17.50352883,NA,14.45809462,16.38206179,17.61654037,NA,17.0782649,NA,14.81171162,NA,17.13526998,NA,NA,15.2974778,17.01213391,NA,18.66933622,13.57545173,14.19313346,13.46915419,16.09002841,15.41074623,14.4266629,12.89412566,13.39760315,15.55233156,10.89867119,15.33303353,16.57319348,NA,NA,12.90896047,15.67288486,NA,17.18149346,NA,14.24844289,NA,21.6517917,16.72738208,NA,NA,16.58381638,17.88129874,13.65641162,16.97789747,14.95448054,15.7756292,12.9978957,17.18271846,NA,NA,17.6547493,14.76476988,18.49371755,18.53455997,NA,NA,18.38987428,NA,17.14864763,18.5359608,16.52852756,13.52114516,NA,15.38390665,NA,NA,NA,15.89929199,NA,14.36516713,15.87586847,16.75528101,16.81016674,15.34926169,17.10939555,13.85075487,NA,16.96119504,16.05406191,14.27275195,16.24985777,17.4043222,16.69593294,16.06097673,15.71698814,NA,NA,17.53037873,15.01247806,NA,16.82503586,16.66903143,17.13538371,15.74034478,15.0831869,15.70421638,17.54158024,12.88241741,12.00870864,15.32061662,13.11732341,14.53867597,14.70554437
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CD123/IL3RA,NA,NA,NA,NA,NA,20.04865058,NA,NA,NA,NA,19.30526777,NA,NA,NA,NA,NA,NA,18.96948919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.96942991,NA,NA,NA,19.56884683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.39126399,NA,NA,NA,NA,NA,NA,NA,19.6217164,NA,NA,18.25261461,NA,19.00487064,NA,NA,NA,NA,NA,NA,19.4259367,NA,NA,NA,NA,NA,NA,NA,18.85404313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.36238016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.52639527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.62016311,NA,NA,NA,NA,NA,NA,NA,NA,18.39510224,NA,NA,NA,NA,19.83539325,NA,NA,19.52351522,20.22953397,NA,NA,NA,19.25668964,NA,19.06879334,NA,NA,NA,NA,NA,NA,18.39887385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.72461255,NA,17.52216597,NA,NA,19.28914439,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CD135/FLT3,NA,NA,NA,NA,NA,NA,NA,19.94198257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.92834628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.98860136,NA,NA,NA,NA,16.02259751,NA,NA,NA,NA,17.51876565,NA,NA,NA,NA,NA,17.64679952,NA,NA,NA,NA,NA,NA,17.84427461,NA,NA,NA,18.42055648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.97076034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.53944822,NA,NA,NA,NA,16.88252362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.40293184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.07961434,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
