Gene_1,Gene_2,MI
MEIS1,RUNX1,0.398395324053315
DDB1,GFI1B,0.397953291144526
CD34,MCL1,0.397811192212031
CD105/ENG,RUNX1,0.396932487946323
CDK6,JAK2,0.396633335948907
CNRIP1,MYB,0.396356360076268
CD71/TFRC,JAK2,0.395778631800867
LSD1/KDM1A,SRD5A3,0.395390927326399
EIF4EBP1,SRD5A3,0.395091082410179
CD110/MPL,LSD1/KDM1A,0.394694157827014
DDB1,HPRT1,0.392968056059973
CD41/ITGA2B,MCL1,0.392828741511643
CD41/ITGA2B,VWF,0.392402976002617
GATA2,TAL1,0.391766732474442
EIF4EBP1,JAK2,0.390211338079275
CD34,LSD1/KDM1A,0.389729979348778
ANK1,TGFB1,0.389132402600031
CD117/KIT,TGFB1,0.388914082965713
CD110/MPL,CD42/GP1BA,0.38858620933955
GATA1,KLF1,0.38725966764849
CDK6,GATA2,0.38686260339189
CTNNB1,EIF4EBP1,0.386648712575497
CD105/ENG,TGFB1,0.386627777638212
RUNX1,SRD5A3,0.38550128013968
CD34,CD44,0.384777576751473
GABPA,RUNX1,0.384643692750502
CD110/MPL,VWF,0.384637081372369
CD41/ITGA2B,CDK4,0.384531277629586
FOG1/ZFPM1,TAL1,0.382201222329918
CD71/TFRC,CDK4,0.381301512734416
ANK1,DDB1,0.380449612498003
GABPA,MCL1,0.379890386548804
CD44,TGFB1,0.378345027022491
CD34,TGFB1,0.378135603926466
CD44,CDK6,0.374871981960068
CD105/ENG,EIF4EBP1,0.374252333961695
CD44,MCL1,0.372833658966047
CD105/ENG,TAL1,0.372614128232575
CD36,GATA1,0.372346069355354
EIF4EBP1,GFI1B,0.371241002745621
CD110/MPL,CD71/TFRC,0.370801016199114
GATA1,GFI1B,0.370440256038074
GABPA,LSD1/KDM1A,0.369938724335521
HIF1A,TAL1,0.369845395816729
JAK2,TAL1,0.369543140929668
MCL1,MYB,0.368939021885441
GABPA,TAL1,0.36837764379114
CD117/KIT,TAL1,0.366027395011895
CD42/GP1BA,LSD1/KDM1A,0.365656174945658
DDB1,HIF1A,0.365459403554371
CD117/KIT,HPRT1,0.364408634375128
DDB1,JAK2,0.363716334605725
MYB,TGFB1,0.363377240525779
CD36,CNRIP1,0.363364071197491
CDK4,RUNX1,0.362796039138677
MYB,RUNX1,0.362623687769836
CD41/ITGA2B,HPRT1,0.361308273626048
CD105/ENG,CDK6,0.361023399076045
CD42/GP1BA,EIF4EBP1,0.360840779640948
CDK4,HPRT1,0.360615235880052
ANK1,EIF4EBP1,0.360051804470714
CD41/ITGA2B,CTNNB1,0.359704540372775
CD110/MPL,MCL1,0.357291248105576
CD41/ITGA2B,CD44,0.357176751748249
CD110/MPL,CD61/ITGB3,0.356279808032075
CD42/GP1BA,DDB1,0.354327047914396
CDK4,GATA1,0.354164850592976
CD41/ITGA2B,GATA2,0.353759565253274
CD71/TFRC,GABPA,0.353388874367825
ANK1,CD117/KIT,0.35113970408452
MCL1,SRD5A3,0.350742242775132
CDK6,HIF1A,0.350246953877265
CD44,GATA1,0.349223021956207
CD44,LSD1/KDM1A,0.34833566724606
CD117/KIT,JAK2,0.3482401536439
CLU,TGFB1,0.348234616737972
CD105/ENG,CD117/KIT,0.347800967367786
MCL1,MEIS1,0.346909923167954
CD71/TFRC,DHRS3,0.346716923087387
CD42/GP1BA,GATA2,0.346334879763144
CD42/GP1BA,GFI1B,0.345762204316085
CDK6,CNRIP1,0.345707633817229
DDB1,SRD5A3,0.345442343479231
CDK6,GABPA,0.343697837770276
LOX,TGFB1,0.343660443665402
ETS1,MCL1,0.34339391573549
GATA1,HPRT1,0.343324946954153
CD117/KIT,SRD5A3,0.343172167918178
CDK4,MCL1,0.343113682937709
GATA2,HPRT1,0.34197780240746
DDB1,MYB,0.341423598127782
CD61/ITGB3,GATA1,0.341279187104438
CNRIP1,TMOD1,0.341215132133995
CD105/ENG,DDB1,0.341047662514059
GFI1B,TAL1,0.340640056731161
CTNNB1,JAK2,0.339364766246656
CTNNB1,MYB,0.339325841698434
ANK1,CD44,0.338352796630457
GATA1,MCL1,0.338255368179333
CDK4,TAL1,0.338243356136499
CD41/ITGA2B,FOG1/ZFPM1,0.338003771789812
CD110/MPL,CD41/ITGA2B,0.337898067286038
SRD5A3,TGFB1,0.337769467081499
CDK4,TGFB1,0.336404055164806
EIF4EBP1,GATA2,0.335134874721975
CD42/GP1BA,CTNNB1,0.334770439277501
CD38,CD71/TFRC,0.334579386503249
CLU,CTNNB1,0.333813424285208
CD71/TFRC,HIF1A,0.333062838429982
CLU,RUNX1,0.332896461787217
CD110/MPL,MEIS1,0.332605658129343
CD44,CNRIP1,0.332480963348084
CD42/GP1BA,MEIS1,0.332120817149475
CD44,ETS1,0.331980731953486
MCL1,P27KIP1/CDKN1B,0.331851613692127
EIF4EBP1,HIF1A,0.331597790787195
MYB,TAL1,0.331180591837769
GABPA,TGFB1,0.330966166306209
CDK4,SRD5A3,0.330638757401535
CD41/ITGA2B,JAK2,0.330564605321554
ANK1,CDK4,0.330103742517656
CD117/KIT,CTNNB1,0.330038646669287
CDK4,CDK6,0.329959812509769
RUNX1,SPI1,0.32967093934655
CDK6,GFI1B,0.32954896113287
CD105/ENG,CD41/ITGA2B,0.329504715134377
CDK4,MYB,0.32912361800564
GATA1,GATA2,0.328367238064211
ANK1,HPRT1,0.327911225277344
CD41/ITGA2B,SDPR,0.327558113826439
CDK4,DDB1,0.327328296271345
CTNNB1,GFI1B,0.327141773815316
ETS1,RUNX1,0.326765874257653
CD71/TFRC,TMOD1,0.326322137903839
EIF4EBP1,MYB,0.326294477557788
CD71/TFRC,TMEM180/MFSD13A,0.325385913432375
ANK1,MYB,0.325150800758941
CD34,CD71/TFRC,0.32507741335669
MCL1,SPI1,0.324891375364487
CTNNB1,GABPA,0.324685232365017
