"Gene_1","Gene_2","MI"
"CD71/TFRC","GFI1B",0.40353275055493476
"CD42/GP1BA","TAL1",0.40335247647191064
"CD41/ITGA2B","KLF1",0.4026492205129593
"CD71/TFRC","GATA2",0.4012420614412933
"CD71/TFRC","SRD5A3",0.40115677973455066
"CD41/ITGA2B","GFI1B",0.4008388620898424
"HPRT1","MYB",0.4001312015039886
"GATA2","LSD1/KDM1A",0.39986404676435844
"CDK4","LSD1/KDM1A",0.39980641294875474
"CD42/GP1BA","CD71/TFRC",0.3996364948259996
"CD117/KIT","EIF4EBP1",0.3986091157435831
"MEIS1","RUNX1",0.39839532405331485
"DDB1","GFI1B",0.3979532911445264
"CD34","MCL1",0.3978111922120311
"CD105/ENG","RUNX1",0.3969324879463233
"CDK6","JAK2",0.39663333594890704
"CNRIP1","MYB",0.39635636007626784
"CD71/TFRC","JAK2",0.3957786318008669
"LSD1/KDM1A","SRD5A3",0.39539092732639847
"EIF4EBP1","SRD5A3",0.39509108241017876
"CD110/MPL","LSD1/KDM1A",0.39469415782701417
"DDB1","HPRT1",0.39296805605997265
"CD41/ITGA2B","MCL1",0.39282874151164354
"CD41/ITGA2B","VWF",0.392402976002617
"GATA2","TAL1",0.3917667324744422
"EIF4EBP1","JAK2",0.3902113380792748
"CD34","LSD1/KDM1A",0.389729979348778
"ANK1","TGFB1",0.3891324026000315
"CD117/KIT","TGFB1",0.38891408296571306
"CD110/MPL","CD42/GP1BA",0.38858620933955035
"GATA1","KLF1",0.3872596676484899
"CDK6","GATA2",0.3868626033918903
"CTNNB1","EIF4EBP1",0.38664871257549704
"CD105/ENG","TGFB1",0.38662777763821227
"RUNX1","SRD5A3",0.3855012801396804
"CD34","CD44",0.38477757675147295
"GABPA","RUNX1",0.3846436927505016
"CD110/MPL","VWF",0.3846370813723688
"CD41/ITGA2B","CDK4",0.3845312776295862
"FOG1/ZFPM1","TAL1",0.38220122232991843
"CD71/TFRC","CDK4",0.38130151273441615
"ANK1","DDB1",0.3804496124980032
"GABPA","MCL1",0.3798903865488042
"CD44","TGFB1",0.3783450270224914
"CD34","TGFB1",0.3781356039264659
"CD44","CDK6",0.37487198196006816
"CD105/ENG","EIF4EBP1",0.3742523339616949
"CD44","MCL1",0.3728336589660469
"CD105/ENG","TAL1",0.37261412823257534
"CD36","GATA1",0.3723460693553538
"EIF4EBP1","GFI1B",0.37124100274562133
"CD110/MPL","CD71/TFRC",0.37080101619911365
"GATA1","GFI1B",0.3704402560380742
"GABPA","LSD1/KDM1A",0.36993872433552094
"HIF1A","TAL1",0.3698453958167292
"JAK2","TAL1",0.369543140929668
"MCL1","MYB",0.3689390218854413
"GABPA","TAL1",0.36837764379114013
"CD117/KIT","TAL1",0.3660273950118951
"CD42/GP1BA","LSD1/KDM1A",0.36565617494565783
"DDB1","HIF1A",0.3654594035543714
"CD117/KIT","HPRT1",0.3644086343751276
"DDB1","JAK2",0.3637163346057254
"MYB","TGFB1",0.3633772405257789
"CD36","CNRIP1",0.36336407119749115
"CDK4","RUNX1",0.36279603913867725
"MYB","RUNX1",0.36262368776983567
"CD41/ITGA2B","HPRT1",0.3613082736260481
"CD105/ENG","CDK6",0.3610233990760448
"CD42/GP1BA","EIF4EBP1",0.36084077964094763
"CDK4","HPRT1",0.36061523588005207
"ANK1","EIF4EBP1",0.36005180447071355
"CD41/ITGA2B","CTNNB1",0.35970454037277494
"CD110/MPL","MCL1",0.35729124810557555
"CD41/ITGA2B","CD44",0.3571767517482488
"CD110/MPL","CD61/ITGB3",0.35627980803207515
"CD42/GP1BA","DDB1",0.35432704791439573
"CDK4","GATA1",0.3541648505929764
"CD41/ITGA2B","GATA2",0.35375956525327434
"CD71/TFRC","GABPA",0.3533888743678252
"ANK1","CD117/KIT",0.3511397040845203
"MCL1","SRD5A3",0.350742242775132
"CDK6","HIF1A",0.3502469538772653
"CD44","GATA1",0.34922302195620647
"CD44","LSD1/KDM1A",0.3483356672460603
"CD117/KIT","JAK2",0.34824015364390015
"CLU","TGFB1",0.3482346167379723
"CD105/ENG","CD117/KIT",0.3478009673677861
"MCL1","MEIS1",0.34690992316795416
"CD71/TFRC","DHRS3",0.3467169230873868
"CD42/GP1BA","GATA2",0.34633487976314425
"CD42/GP1BA","GFI1B",0.3457622043160852
"CDK6","CNRIP1",0.3457076338172289
"DDB1","SRD5A3",0.34544234347923136
"CDK6","GABPA",0.34369783777027596
"LOX","TGFB1",0.3436604436654017
"ETS1","MCL1",0.3433939157354905
"GATA1","HPRT1",0.34332494695415294
"CD117/KIT","SRD5A3",0.3431721679181785
"CDK4","MCL1",0.34311368293770944
"GATA2","HPRT1",0.34197780240745973
"DDB1","MYB",0.341423598127782
"CD61/ITGB3","GATA1",0.3412791871044383
"CNRIP1","TMOD1",0.34121513213399546
"CD105/ENG","DDB1",0.34104766251405905
"GFI1B","TAL1",0.3406400567311615
"CTNNB1","JAK2",0.3393647662466561
"CTNNB1","MYB",0.3393258416984338
"ANK1","CD44",0.3383527966304567
"GATA1","MCL1",0.3382553681793331
"CDK4","TAL1",0.3382433561364989
"CD41/ITGA2B","FOG1/ZFPM1",0.33800377178981245
"CD110/MPL","CD41/ITGA2B",0.33789806728603766
"SRD5A3","TGFB1",0.33776946708149935
"CDK4","TGFB1",0.3364040551648062
"EIF4EBP1","GATA2",0.3351348747219752
"CD42/GP1BA","CTNNB1",0.3347704392775008
"CD38","CD71/TFRC",0.3345793865032488
"CLU","CTNNB1",0.33381342428520816
"CD71/TFRC","HIF1A",0.33306283842998236
"CLU","RUNX1",0.33289646178721655
"CD110/MPL","MEIS1",0.33260565812934284
"CD44","CNRIP1",0.33248096334808364
"CD42/GP1BA","MEIS1",0.3321208171494755
"CD44","ETS1",0.33198073195348615
"MCL1","P27KIP1/CDKN1B",0.3318516136921275
"EIF4EBP1","HIF1A",0.3315977907871948
"MYB","TAL1",0.3311805918377694
