,gene1,gene2,value,gene_pair
80,CNRIP1,LSD1/KDM1A,0.462731548245154,CNRIP1 & LSD1/KDM1A
81,ANK1,KLF1,0.461885831950838,ANK1 & KLF1
82,ANK1,LSD1/KDM1A,0.461206232171351,ANK1 & LSD1/KDM1A
83,GATA1,RUNX1,0.46059733875711,GATA1 & RUNX1
84,CD117/KIT,MYB,0.459386971154406,CD117/KIT & MYB
85,CD41/ITGA2B,DDB1,0.455637280397603,CD41/ITGA2B & DDB1
86,CD105/ENG,LSD1/KDM1A,0.453181128586381,CD105/ENG & LSD1/KDM1A
87,CDK6,HPRT1,0.452620627106167,CDK6 & HPRT1
88,HIF1A,TGFB1,0.450021810024296,HIF1A & TGFB1
89,LSD1/KDM1A,MYB,0.44963566522355,LSD1/KDM1A & MYB
90,JAK2,RUNX1,0.448339973754859,JAK2 & RUNX1
91,DDB1,TAL1,0.446641290518841,DDB1 & TAL1
92,CNRIP1,TAL1,0.446352285524934,CNRIP1 & TAL1
93,CD42/GP1BA,VWF,0.445964570407137,CD42/GP1BA & VWF
94,CD110/MPL,TGFB1,0.445276689994269,CD110/MPL & TGFB1
95,CD42/GP1BA,RUNX1,0.444644439245236,CD42/GP1BA & RUNX1
96,DHRS3,GATA1,0.444554038251958,DHRS3 & GATA1
97,CD71/TFRC,CTNNB1,0.443347046864232,CD71/TFRC & CTNNB1
98,CD117/KIT,CNRIP1,0.438375209235341,CD117/KIT & CNRIP1
99,HIF1A,MCL1,0.433288945314663,HIF1A & MCL1
100,GATA2,TGFB1,0.433224179372878,GATA2 & TGFB1
101,CD71/TFRC,MYB,0.432747363330408,CD71/TFRC & MYB
102,CDK6,TAL1,0.432295528656702,CDK6 & TAL1
103,CDK6,MYB,0.431868448092076,CDK6 & MYB
104,HPRT1,MCL1,0.431684493770937,HPRT1 & MCL1
105,JAK2,MCL1,0.430309953737161,JAK2 & MCL1
106,CNRIP1,DHRS3,0.429876394467843,CNRIP1 & DHRS3
107,CD34,RUNX1,0.429686417587714,CD34 & RUNX1
108,MEIS1,TGFB1,0.429208357844583,MEIS1 & TGFB1
109,GATA2,MCL1,0.428879885512358,GATA2 & MCL1
110,EIF4EBP1,GATA1,0.428479318898796,EIF4EBP1 & GATA1
111,CD117/KIT,RUNX1,0.427668024725455,CD117/KIT & RUNX1
112,CD110/MPL,RUNX1,0.425378672026198,CD110/MPL & RUNX1
113,CD117/KIT,MCL1,0.424071096118978,CD117/KIT & MCL1
114,CDK6,SRD5A3,0.422086926248518,CDK6 & SRD5A3
115,GATA2,RUNX1,0.421844902591111,GATA2 & RUNX1
116,GFI1B,LSD1/KDM1A,0.42112483901586,GFI1B & LSD1/KDM1A
117,DDB1,GATA1,0.419981153129591,DDB1 & GATA1
118,CTNNB1,DDB1,0.41727082739439,CTNNB1 & DDB1
119,CD105/ENG,CD71/TFRC,0.416148081684288,CD105/ENG & CD71/TFRC
120,CDK4,EIF4EBP1,0.415127707145802,CDK4 & EIF4EBP1
121,HPRT1,RUNX1,0.414860137969955,HPRT1 & RUNX1
122,JAK2,TGFB1,0.414831017511107,JAK2 & TGFB1
123,CD42/GP1BA,MCL1,0.410612698061142,CD42/GP1BA & MCL1
124,CD36,CD71/TFRC,0.410300541646134,CD36 & CD71/TFRC
125,HIF1A,LSD1/KDM1A,0.409646126709525,HIF1A & LSD1/KDM1A
126,CD71/TFRC,KLF1,0.40939614390039,CD71/TFRC & KLF1
127,GFI1B,MCL1,0.409233495078822,GFI1B & MCL1
128,HPRT1,TGFB1,0.40773749500602,HPRT1 & TGFB1
129,CD105/ENG,MCL1,0.406827484222754,CD105/ENG & MCL1
130,CD117/KIT,DDB1,0.406823852549365,CD117/KIT & DDB1
131,CDK6,CTNNB1,0.406754835647827,CDK6 & CTNNB1
132,HPRT1,TAL1,0.406202110737176,HPRT1 & TAL1
133,TGFB1,VWF,0.404373425518715,TGFB1 & VWF
134,CD71/TFRC,GFI1B,0.403532750554935,CD71/TFRC & GFI1B
