,gene1,gene2,value,gene_pair
374,RUNX1,SDPR,0.292234186704195,RUNX1 & SDPR
375,ETS1,HIF1A,0.29223397469421,ETS1 & HIF1A
376,GATA1,MYB,0.292207765922658,GATA1 & MYB
377,GFI1B,JAK2,0.292063839624325,GFI1B & JAK2
378,CD110/MPL,DDB1,0.291597946240944,CD110/MPL & DDB1
379,CD41/ITGA2B,TMEM180/MFSD13A,0.291246250957674,CD41/ITGA2B & TMEM180/MFSD13A
380,GATA2,MYB,0.291216080601494,GATA2 & MYB
381,CDK6,MEIS1,0.291022234875889,CDK6 & MEIS1
382,CLU,LSD1/KDM1A,0.29088683166528,CLU & LSD1/KDM1A
383,MEIS1,TAL1,0.290880217456353,MEIS1 & TAL1
384,ANK1,CD42/GP1BA,0.290749017123751,ANK1 & CD42/GP1BA
385,P27KIP1/CDKN1B,TGFB1,0.290732067393989,P27KIP1/CDKN1B & TGFB1
386,CNRIP1,HPRT1,0.289897075110097,CNRIP1 & HPRT1
387,KLF1,MYB,0.289354489512799,KLF1 & MYB
388,CD61/ITGB3,RUNX1,0.28901158628659,CD61/ITGB3 & RUNX1
389,LOX,VWF,0.288936750818594,LOX & VWF
390,DDB1,MEIS1,0.288827912076766,DDB1 & MEIS1
391,MYB,TMOD1,0.288336476092592,MYB & TMOD1
392,CD44,CTNNB1,0.287698712646429,CD44 & CTNNB1
393,CD34,GATA2,0.287422605253553,CD34 & GATA2
394,ETS1,TGFB1,0.287030948819689,ETS1 & TGFB1
395,CTNNB1,SRD5A3,0.286625555718303,CTNNB1 & SRD5A3
396,CTNNB1,GATA2,0.286291184773229,CTNNB1 & GATA2
397,CD34,SPI1,0.286277773671783,CD34 & SPI1
398,CD105/ENG,JAK2,0.286225563336809,CD105/ENG & JAK2
399,CD117/KIT,TMEM180/MFSD13A,0.286026516936147,CD117/KIT & TMEM180/MFSD13A
400,CLU,SDPR,0.285346677724172,CLU & SDPR
401,MCL1,SELP,0.28483250576945,MCL1 & SELP
402,CD42/GP1BA,MYB,0.284768262254078,CD42/GP1BA & MYB
403,CD42/GP1BA,CD9,0.284604500923032,CD42/GP1BA & CD9
404,FHL1,P27KIP1/CDKN1B,0.284430600033875,FHL1 & P27KIP1/CDKN1B
405,RUNX1,VWF,0.284014683395924,RUNX1 & VWF
406,CNRIP1,MCL1,0.283808195066767,CNRIP1 & MCL1
407,CLU,TAL1,0.28365463127638,CLU & TAL1
408,CD42/GP1BA,CD44,0.283578656731661,CD42/GP1BA & CD44
409,RUNX1,SELP,0.283442966492884,RUNX1 & SELP
410,CTNNB1,FOG1/ZFPM1,0.283265952670645,CTNNB1 & FOG1/ZFPM1
411,FOG1/ZFPM1,RUNX1,0.282725580464039,FOG1/ZFPM1 & RUNX1
412,KLF1,LSD1/KDM1A,0.282690458767421,KLF1 & LSD1/KDM1A
413,CD117/KIT,HIF1A,0.282612321855665,CD117/KIT & HIF1A
414,GFI1B,VWF,0.282351577684308,GFI1B & VWF
415,HIF1A,SPI1,0.282172440220501,HIF1A & SPI1
416,CD34,EIF4EBP1,0.282086730025654,CD34 & EIF4EBP1
417,TAL1,TMOD1,0.281831646081607,TAL1 & TMOD1
418,GFI1B,HPRT1,0.281439974605538,GFI1B & HPRT1
419,CD44,CD61/ITGB3,0.281391718095483,CD44 & CD61/ITGB3
420,SPI1,TGFB1,0.281044983107781,SPI1 & TGFB1
421,LSD1/KDM1A,SELP,0.279949836866118,LSD1/KDM1A & SELP
422,CD71/TFRC,MEIS1,0.279948615264478,CD71/TFRC & MEIS1
423,CD117/KIT,GABPA,0.279648865046353,CD117/KIT & GABPA
424,ETS1,LSD1/KDM1A,0.279112385119974,ETS1 & LSD1/KDM1A
425,LOX,LSD1/KDM1A,0.278856790829688,LOX & LSD1/KDM1A
426,MCL1,SDPR,0.278659299937899,MCL1 & SDPR
427,DDB1,GABPA,0.278104892770778,DDB1 & GABPA
428,EIF4EBP1,FOG1/ZFPM1,0.277416120764141,EIF4EBP1 & FOG1/ZFPM1
429,GFI1B,MYB,0.276883123926552,GFI1B & MYB
430,HIF1A,JAK2,0.276748928635847,HIF1A & JAK2
431,CD34,HIF1A,0.276710700246745,CD34 & HIF1A
432,GABPA,JAK2,0.27615165556016,GABPA & JAK2
433,CD105/ENG,GFI1B,0.276011144923097,CD105/ENG & GFI1B
434,CD105/ENG,MYB,0.275990088723223,CD105/ENG & MYB
435,CTNNB1,MEIS1,0.275529957678404,CTNNB1 & MEIS1
436,CD61/ITGB3,LOX,0.274410655608489,CD61/ITGB3 & LOX
437,EIF4EBP1,TMEM180/MFSD13A,0.274083072011267,EIF4EBP1 & TMEM180/MFSD13A
438,KLF1,TMOD1,0.27308819001474,KLF1 & TMOD1
439,CD34,CD41/ITGA2B,0.27269352158681,CD34 & CD41/ITGA2B
440,ANK1,CDK6,0.272594322005247,ANK1 & CDK6
441,CD41/ITGA2B,GABPA,0.27248665457358,CD41/ITGA2B & GABPA
442,CD117/KIT,CDK4,0.272001856233037,CD117/KIT & CDK4
443,CD71/TFRC,SELP,0.271996989523306,CD71/TFRC & SELP
444,CLU,EIF4EBP1,0.27195889562615,CLU & EIF4EBP1
445,LSD1/KDM1A,SPI1,0.271892801669195,LSD1/KDM1A & SPI1
446,CLU,MYB,0.271566364354722,CLU & MYB
447,CD117/KIT,CD44,0.271521106219552,CD117/KIT & CD44
448,CD38,HPRT1,0.27133187508856,CD38 & HPRT1
449,ANK1,GFI1B,0.271294006942932,ANK1 & GFI1B
450,CLU,FHL1,0.271225795755328,CLU & FHL1
451,CD110/MPL,CD34,0.27116501357215,CD110/MPL & CD34
452,CDK6,ETS1,0.270471514192692,CDK6 & ETS1
453,CD34,CLU,0.270199800062632,CD34 & CLU
454,CD110/MPL,HIF1A,0.269720973165345,CD110/MPL & HIF1A
455,CD105/ENG,CD42/GP1BA,0.269684791331163,CD105/ENG & CD42/GP1BA
456,CD110/MPL,GATA2,0.269435263806145,CD110/MPL & GATA2
457,CNRIP1,SRD5A3,0.269319106600634,CNRIP1 & SRD5A3
458,EIF4EBP1,KLF1,0.269239393220443,EIF4EBP1 & KLF1
459,CD42/GP1BA,CNRIP1,0.268276617379788,CD42/GP1BA & CNRIP1
460,LSD1/KDM1A,TMOD1,0.2678572899111,LSD1/KDM1A & TMOD1
461,CD110/MPL,CD117/KIT,0.267775357869162,CD110/MPL & CD117/KIT
462,CD44,GATA2,0.267652452893448,CD44 & GATA2
463,CD38,LSD1/KDM1A,0.267595915285057,CD38 & LSD1/KDM1A
464,CD36,TMOD1,0.266920121349183,CD36 & TMOD1
465,GATA2,GFI1B,0.266424516004857,GATA2 & GFI1B
466,CD110/MPL,HPRT1,0.265908797089952,CD110/MPL & HPRT1
467,CD41/ITGA2B,SRD5A3,0.265870651501436,CD41/ITGA2B & SRD5A3
468,GABPA,GATA2,0.265230509983157,GABPA & GATA2
469,CD42/GP1BA,CDK4,0.265104523139451,CD42/GP1BA & CDK4
470,CD38,CD41/ITGA2B,0.265083710253993,CD38 & CD41/ITGA2B
471,CD42/GP1BA,HPRT1,0.265070570989481,CD42/GP1BA & HPRT1
472,CLU,HPRT1,0.26501351122038,CLU & HPRT1
473,CD34,TAL1,0.26479051735016,CD34 & TAL1
474,CD117/KIT,KLF1,0.264728007153137,CD117/KIT & KLF1
475,CD42/GP1BA,GABPA,0.264701257174155,CD42/GP1BA & GABPA
476,DHRS3,KLF1,0.264569250296053,DHRS3 & KLF1
477,LOX,MYB,0.264412244939853,LOX & MYB
478,LSD1/KDM1A,P27KIP1/CDKN1B,0.264354154559346,LSD1/KDM1A & P27KIP1/CDKN1B
479,GATA2,JAK2,0.264002414903493,GATA2 & JAK2
480,CD34,GFI1B,0.263631223430576,CD34 & GFI1B
481,ANK1,SRD5A3,0.263450399391044,ANK1 & SRD5A3
482,CDK4,CTNNB1,0.263437317271873,CDK4 & CTNNB1
483,CDK6,TMOD1,0.262831669426519,CDK6 & TMOD1
484,CDK4,GATA2,0.261551533523685,CDK4 & GATA2
485,GABPA,SRD5A3,0.261522854247794,GABPA & SRD5A3
486,CD117/KIT,CD38,0.261482893013653,CD117/KIT & CD38
487,FOG1/ZFPM1,TGFB1,0.261375744743783,FOG1/ZFPM1 & TGFB1
488,CD61/ITGB3,TAL1,0.260235559916218,CD61/ITGB3 & TAL1
489,CD34,SRD5A3,0.260195225395194,CD34 & SRD5A3
490,CDK6,TMEM180/MFSD13A,0.260094833618346,CDK6 & TMEM180/MFSD13A
491,CD105/ENG,GATA1,0.259995778189586,CD105/ENG & GATA1
492,ANK1,CD110/MPL,0.259976070606049,ANK1 & CD110/MPL
493,GATA1,HIF1A,0.259266868219489,GATA1 & HIF1A
494,CD105/ENG,HIF1A,0.259176880955911,CD105/ENG & HIF1A
495,CLU,VWF,0.258997602229951,CLU & VWF
496,CD38,CNRIP1,0.258958868855042,CD38 & CNRIP1
497,SELP,TGFB1,0.258345829006003,SELP & TGFB1
498,FOG1/ZFPM1,GATA1,0.258284713504454,FOG1/ZFPM1 & GATA1
499,CD110/MPL,JAK2,0.258237844591501,CD110/MPL & JAK2
500,CD41/ITGA2B,LOX,0.258228650936885,CD41/ITGA2B & LOX
501,BIM/BCL2,CD71/TFRC,0.257851460106651,BIM/BCL2 & CD71/TFRC
502,JAK2,MYB,0.257444046465384,JAK2 & MYB
503,CD38,TAL1,0.257415213151099,CD38 & TAL1
504,DHRS3,TGFB1,0.257008376899381,DHRS3 & TGFB1
505,DDB1,LOX,0.256775068922554,DDB1 & LOX
506,CD42/GP1BA,JAK2,0.256563236783749,CD42/GP1BA & JAK2
507,MCL1,VWF,0.256467357380282,MCL1 & VWF
508,DHRS3,LSD1/KDM1A,0.256284294227136,DHRS3 & LSD1/KDM1A
509,CD105/ENG,CNRIP1,0.255958344410828,CD105/ENG & CNRIP1
510,CD71/TFRC,CD9,0.255848149494938,CD71/TFRC & CD9
511,CTNNB1,ETS1,0.254957970534036,CTNNB1 & ETS1
512,RGS18,SDPR,0.254747412289472,RGS18 & SDPR
513,CTNNB1,SELP,0.25435551259315,CTNNB1 & SELP
514,CD41/ITGA2B,CLU,0.254178243480181,CD41/ITGA2B & CLU
515,CD71/TFRC,ETS1,0.254131848882483,CD71/TFRC & ETS1
516,CD9,VWF,0.254117180107563,CD9 & VWF
517,GABPA,GFI1B,0.253815511819144,GABPA & GFI1B
518,CD36,KLF1,0.252943085619572,CD36 & KLF1
519,CD110/MPL,MYB,0.252723528732859,CD110/MPL & MYB
520,CNRIP1,TMEM180/MFSD13A,0.252637950750228,CNRIP1 & TMEM180/MFSD13A
521,CD61/ITGB3,MCL1,0.252548406171439,CD61/ITGB3 & MCL1
522,GATA2,MEIS1,0.252392055740606,GATA2 & MEIS1
523,GATA2,HIF1A,0.252284878883901,GATA2 & HIF1A
524,CD44,EIF4EBP1,0.252245396063392,CD44 & EIF4EBP1
525,ANK1,TMEM180/MFSD13A,0.252209434930404,ANK1 & TMEM180/MFSD13A
526,CD117/KIT,GATA2,0.252155605442661,CD117/KIT & GATA2
527,CD38,MCL1,0.252130225925303,CD38 & MCL1
528,CDK6,SELP,0.252056488601875,CDK6 & SELP
529,ANK1,CTNNB1,0.251717370244506,ANK1 & CTNNB1
530,CD117/KIT,ETS1,0.251234169358683,CD117/KIT & ETS1
531,CDK6,CLU,0.251139562137591,CDK6 & CLU
532,ETS1,TAL1,0.251135102791351,ETS1 & TAL1
533,GATA2,SELP,0.251054845082653,GATA2 & SELP
534,CD41/ITGA2B,SELP,0.250868437419621,CD41/ITGA2B & SELP
535,GFI1B,LOX,0.250728813421954,GFI1B & LOX
536,CD34,HPRT1,0.250723419120391,CD34 & HPRT1
537,CD44,MYB,0.250646461540509,CD44 & MYB
538,CLU,HIF1A,0.250435622401585,CLU & HIF1A
539,CD71/TFRC,CLU,0.25009459080824,CD71/TFRC & CLU
540,CD38,CDK6,0.249810428831688,CD38 & CDK6
541,CDK4,GFI1B,0.249788049215872,CDK4 & GFI1B
542,CD34,CD42/GP1BA,0.249483413103868,CD34 & CD42/GP1BA
543,CD41/ITGA2B,TMOD1,0.249036338782039,CD41/ITGA2B & TMOD1
544,P27KIP1/CDKN1B,SDPR,0.248955921644777,P27KIP1/CDKN1B & SDPR
545,CDK4,TMEM180/MFSD13A,0.248877181050341,CDK4 & TMEM180/MFSD13A
546,GATA1,TMEM180/MFSD13A,0.248777261030944,GATA1 & TMEM180/MFSD13A
547,CD117/KIT,SPI1,0.248549184238038,CD117/KIT & SPI1
548,CD110/MPL,CLU,0.248374647401817,CD110/MPL & CLU
549,ETS1,GABPA,0.24733015002737,ETS1 & GABPA
550,CD9,MEIS1,0.247280111939798,CD9 & MEIS1
551,HIF1A,SRD5A3,0.247279876771358,HIF1A & SRD5A3
552,CTNNB1,LOX,0.24700399755209,CTNNB1 & LOX
553,CDK4,JAK2,0.246810808280603,CDK4 & JAK2
554,CD42/GP1BA,TMEM180/MFSD13A,0.246727906126674,CD42/GP1BA & TMEM180/MFSD13A
555,GATA1,SRD5A3,0.246400849051116,GATA1 & SRD5A3
556,CD110/MPL,GATA1,0.246380110066001,CD110/MPL & GATA1
557,EIF4EBP1,ETS1,0.246370651756107,EIF4EBP1 & ETS1
558,CD41/ITGA2B,SPI1,0.246107243390108,CD41/ITGA2B & SPI1
559,MEIS1,VWF,0.245597258772468,MEIS1 & VWF
560,CD42/GP1BA,ETS1,0.245565047001366,CD42/GP1BA & ETS1
561,CD71/TFRC,VWF,0.245035028433276,CD71/TFRC & VWF
562,CD61/ITGB3,CLU,0.244993308729737,CD61/ITGB3 & CLU
563,MYB,SDPR,0.244780028729991,MYB & SDPR
564,CD117/KIT,MEIS1,0.244760797320811,CD117/KIT & MEIS1
565,TGFB1,TMEM180/MFSD13A,0.244455226628781,TGFB1 & TMEM180/MFSD13A
566,CD34,GABPA,0.244447156910499,CD34 & GABPA
567,CD42/GP1BA,SPI1,0.244441671242154,CD42/GP1BA & SPI1
568,CD44,SPI1,0.244097037925144,CD44 & SPI1
569,CNRIP1,GATA2,0.244083426887205,CNRIP1 & GATA2
570,CD34,LOX,0.243941724089787,CD34 & LOX
571,CD44,DDB1,0.24388934554793,CD44 & DDB1
572,ANK1,FOG1/ZFPM1,0.243456208435523,ANK1 & FOG1/ZFPM1
573,CD61/ITGB3,MEIS1,0.243352461323556,CD61/ITGB3 & MEIS1
574,DDB1,KLF1,0.242207154549062,DDB1 & KLF1
575,HIF1A,MEIS1,0.242179144520364,HIF1A & MEIS1
576,CD36,HPRT1,0.242160730055033,CD36 & HPRT1
577,CDK6,P27KIP1/CDKN1B,0.241411114843292,CDK6 & P27KIP1/CDKN1B
578,DHRS3,RUNX1,0.241392902292707,DHRS3 & RUNX1
579,GFI1B,SRD5A3,0.241333177577817,GFI1B & SRD5A3
580,ANK1,CD38,0.241070007813608,ANK1 & CD38
581,CD117/KIT,SELP,0.240888359217881,CD117/KIT & SELP
582,DHRS3,TMOD1,0.240738716571593,DHRS3 & TMOD1
583,CLU,P27KIP1/CDKN1B,0.240622112363263,CLU & P27KIP1/CDKN1B
584,MYB,P27KIP1/CDKN1B,0.240080365838857,MYB & P27KIP1/CDKN1B
585,CD38,EIF4EBP1,0.239332064858395,CD38 & EIF4EBP1
586,CNRIP1,GABPA,0.239015445821308,CNRIP1 & GABPA
587,ETS1,JAK2,0.23891386232677,ETS1 & JAK2
588,CD38,CTNNB1,0.238868921209638,CD38 & CTNNB1
589,CD36,JAK2,0.238766913625564,CD36 & JAK2
590,CD61/ITGB3,CD71/TFRC,0.238589543182627,CD61/ITGB3 & CD71/TFRC
591,CD105/ENG,MEIS1,0.238375769276041,CD105/ENG & MEIS1
592,ETS1,SRD5A3,0.238337898700885,ETS1 & SRD5A3
593,EIF4EBP1,P27KIP1/CDKN1B,0.23830807958766,EIF4EBP1 & P27KIP1/CDKN1B
594,CDK6,LOX,0.238049559566574,CDK6 & LOX
595,DHRS3,MCL1,0.237959984017794,DHRS3 & MCL1
596,FOG1/ZFPM1,MCL1,0.237877320460037,FOG1/ZFPM1 & MCL1
597,CD105/ENG,TMEM180/MFSD13A,0.237848778312679,CD105/ENG & TMEM180/MFSD13A
598,CD36,MYB,0.237631554817696,CD36 & MYB
599,CD34,SELP,0.23751784760205,CD34 & SELP
600,CLU,GATA2,0.236295190242215,CLU & GATA2
601,CD42/GP1BA,SRD5A3,0.236017658896643,CD42/GP1BA & SRD5A3
602,CD105/ENG,GATA2,0.235929800784136,CD105/ENG & GATA2
603,FOG1/ZFPM1,LSD1/KDM1A,0.235665747908324,FOG1/ZFPM1 & LSD1/KDM1A
604,CD71/TFRC,SDPR,0.235441985750933,CD71/TFRC & SDPR
605,HPRT1,TMEM180/MFSD13A,0.235376243371545,HPRT1 & TMEM180/MFSD13A
606,GABPA,SDPR,0.235298609317064,GABPA & SDPR
607,RUNX1,TMOD1,0.235069684771136,RUNX1 & TMOD1
608,CDK4,CNRIP1,0.234858042499258,CDK4 & CNRIP1
609,CD117/KIT,CLU,0.234805524799486,CD117/KIT & CLU
610,CD71/TFRC,SPI1,0.234628612126988,CD71/TFRC & SPI1
611,CD117/KIT,LOX,0.234485488730292,CD117/KIT & LOX
612,CD105/ENG,GABPA,0.234243063325019,CD105/ENG & GABPA
613,ETS1,MEIS1,0.234086510267514,ETS1 & MEIS1
614,CD36,LSD1/KDM1A,0.233893224683439,CD36 & LSD1/KDM1A
615,CD38,RUNX1,0.233830649453782,CD38 & RUNX1
616,FHL1,MCL1,0.233619531989157,FHL1 & MCL1
617,DDB1,TMOD1,0.233185345030047,DDB1 & TMOD1
618,CTNNB1,TMEM180/MFSD13A,0.233062246348542,CTNNB1 & TMEM180/MFSD13A
619,DDB1,TMEM180/MFSD13A,0.232968896705301,DDB1 & TMEM180/MFSD13A
620,CDK4,HIF1A,0.232657253188212,CDK4 & HIF1A
621,HIF1A,MYB,0.232448023838956,HIF1A & MYB
622,SELP,TAL1,0.232294369534571,SELP & TAL1
623,DDB1,ETS1,0.232115286814595,DDB1 & ETS1
624,GABPA,P27KIP1/CDKN1B,0.232077271141139,GABPA & P27KIP1/CDKN1B
625,LOX,TAL1,0.231763656116218,LOX & TAL1
626,CD110/MPL,CD9,0.231360804004022,CD110/MPL & CD9
627,PIM1,TAL1,0.230511882675572,PIM1 & TAL1
628,ETS1,SELP,0.230472406549867,ETS1 & SELP
629,CD41/ITGA2B,ETS1,0.230084769352947,CD41/ITGA2B & ETS1
630,HPRT1,KLF1,0.229933747521465,HPRT1 & KLF1
631,LSD1/KDM1A,VWF,0.22993023282131,LSD1/KDM1A & VWF
632,LOX,MEIS1,0.229492075892568,LOX & MEIS1
633,LSD1/KDM1A,SDPR,0.229165910821738,LSD1/KDM1A & SDPR
634,CLU,MEIS1,0.228940897369323,CLU & MEIS1
635,CDK6,KLF1,0.228762219950621,CDK6 & KLF1
636,EIF4EBP1,LOX,0.228626642020862,EIF4EBP1 & LOX
637,CD36,TGFB1,0.228437228327251,CD36 & TGFB1
638,CNRIP1,FOG1/ZFPM1,0.228256423152546,CNRIP1 & FOG1/ZFPM1
639,CLU,LOX,0.228244445243357,CLU & LOX
640,CD9,LSD1/KDM1A,0.228234786815452,CD9 & LSD1/KDM1A
641,TAL1,VWF,0.228203055107841,TAL1 & VWF
642,CD36,RUNX1,0.227903896655539,CD36 & RUNX1
643,CD9,RUNX1,0.227895531339674,CD9 & RUNX1
644,CLU,DDB1,0.227820736848664,CLU & DDB1
645,JAK2,MEIS1,0.227815151723341,JAK2 & MEIS1
646,SPI1,TAL1,0.227749615749021,SPI1 & TAL1
647,CD44,HIF1A,0.227511773392144,CD44 & HIF1A
648,CNRIP1,GFI1B,0.227468131131392,CNRIP1 & GFI1B
649,CD105/ENG,KLF1,0.227336542878547,CD105/ENG & KLF1
650,EIF4EBP1,SDPR,0.226730326360758,EIF4EBP1 & SDPR
651,ETS1,SPI1,0.226164721662813,ETS1 & SPI1
652,CD38,DDB1,0.226144614475016,CD38 & DDB1
653,CD36,DDB1,0.22603702034828,CD36 & DDB1
654,CD36,CD42/GP1BA,0.225918595732302,CD36 & CD42/GP1BA
655,CD38,GABPA,0.22590709466211,CD38 & GABPA
656,HIF1A,VWF,0.225621008667375,HIF1A & VWF
657,ETS1,MYB,0.225164557705643,ETS1 & MYB
658,CD110/MPL,SRD5A3,0.22516369489567,CD110/MPL & SRD5A3
659,CD110/MPL,CNRIP1,0.225158595566699,CD110/MPL & CNRIP1
660,CD34,JAK2,0.225127612225432,CD34 & JAK2
661,CD36,CDK4,0.225121884322642,CD36 & CDK4
662,CD105/ENG,SPI1,0.225072011809486,CD105/ENG & SPI1
663,GATA2,SRD5A3,0.225010205630838,GATA2 & SRD5A3
664,CD9,MCL1,0.224990672364935,CD9 & MCL1
665,P27KIP1/CDKN1B,TAL1,0.224959680008768,P27KIP1/CDKN1B & TAL1
666,GABPA,GATA1,0.224947971392155,GABPA & GATA1
667,CD105/ENG,CD34,0.224922726411141,CD105/ENG & CD34
668,CD9,CNRIP1,0.224828360529263,CD9 & CNRIP1
669,CD71/TFRC,RGS18,0.22468138334743,CD71/TFRC & RGS18
670,MYB,RGS18,0.224620862541692,MYB & RGS18
671,GFI1B,TMEM180/MFSD13A,0.224427630444685,GFI1B & TMEM180/MFSD13A
672,CD34,MEIS1,0.22430002414897,CD34 & MEIS1
673,CD44,SELP,0.224230893277331,CD44 & SELP
674,CTNNB1,SPI1,0.224169276405589,CTNNB1 & SPI1
675,CD38,TGFB1,0.224121651032549,CD38 & TGFB1
676,GATA1,SDPR,0.224044179852018,GATA1 & SDPR
677,FHL1,MYB,0.223307639953635,FHL1 & MYB
678,ANK1,GATA2,0.223267714422784,ANK1 & GATA2
679,CD105/ENG,CD36,0.223115432878885,CD105/ENG & CD36
680,MCL1,RGS18,0.223023277156942,MCL1 & RGS18
681,CD42/GP1BA,FOG1/ZFPM1,0.222747368001423,CD42/GP1BA & FOG1/ZFPM1
682,GATA1,VWF,0.222724829154907,GATA1 & VWF
683,JAK2,TMOD1,0.222713290834299,JAK2 & TMOD1
684,CD38,GATA1,0.222678326160151,CD38 & GATA1
685,CD34,GATA1,0.222581382733104,CD34 & GATA1
686,KLF1,MCL1,0.222075356808935,KLF1 & MCL1
687,CXCR4,MCL1,0.221808142726444,CXCR4 & MCL1
688,MEIS1,P27KIP1/CDKN1B,0.221806905272322,MEIS1 & P27KIP1/CDKN1B
689,GFI1B,SDPR,0.221676890271995,GFI1B & SDPR
690,CD61/ITGB3,CNRIP1,0.22163300294037,CD61/ITGB3 & CNRIP1
691,DDB1,FOG1/ZFPM1,0.221460911405292,DDB1 & FOG1/ZFPM1
692,CD61/ITGB3,SDPR,0.221332172268902,CD61/ITGB3 & SDPR
693,CD36,MCL1,0.221116346183554,CD36 & MCL1
694,GABPA,SPI1,0.220804500950727,GABPA & SPI1
695,CD44,GFI1B,0.220762806955367,CD44 & GFI1B
696,CDK6,SDPR,0.220736762073117,CDK6 & SDPR
697,CD110/MPL,SDPR,0.220086571175907,CD110/MPL & SDPR
698,JAK2,TMEM180/MFSD13A,0.22001984941473,JAK2 & TMEM180/MFSD13A
699,CD42/GP1BA,SELP,0.219564190686748,CD42/GP1BA & SELP
700,CD42/GP1BA,RGS18,0.219562032315472,CD42/GP1BA & RGS18
701,GATA2,SDPR,0.219497393622866,GATA2 & SDPR
702,EIF4EBP1,VWF,0.219309577757052,EIF4EBP1 & VWF
703,MYB,TMEM180/MFSD13A,0.219233307740207,MYB & TMEM180/MFSD13A
704,KLF1,SRD5A3,0.219171296901439,KLF1 & SRD5A3
705,EIF4EBP1,SELP,0.219000267278548,EIF4EBP1 & SELP
706,GATA1,SELP,0.218907138365651,GATA1 & SELP
707,HIF1A,SDPR,0.218161465818672,HIF1A & SDPR
708,CD44,HPRT1,0.218062013033891,CD44 & HPRT1
709,DDB1,P27KIP1/CDKN1B,0.217741613477516,DDB1 & P27KIP1/CDKN1B
710,TGFB1,TMOD1,0.217521082491027,TGFB1 & TMOD1
711,DDB1,VWF,0.21746670539065,DDB1 & VWF
712,CD44,P27KIP1/CDKN1B,0.217205073458807,CD44 & P27KIP1/CDKN1B
713,P27KIP1/CDKN1B,RGS18,0.216880280192088,P27KIP1/CDKN1B & RGS18
714,CD44,CLU,0.216859037769137,CD44 & CLU
715,FOG1/ZFPM1,GATA2,0.216796195070382,FOG1/ZFPM1 & GATA2
716,CD61/ITGB3,GATA2,0.21662926799868,CD61/ITGB3 & GATA2
717,CD105/ENG,TMOD1,0.216573456968841,CD105/ENG & TMOD1
718,HPRT1,LOX,0.216471808141484,HPRT1 & LOX
719,FOG1/ZFPM1,HPRT1,0.216106080310743,FOG1/ZFPM1 & HPRT1
720,BIM/BCL2,EIF4EBP1,0.21601634694611,BIM/BCL2 & EIF4EBP1
721,JAK2,KLF1,0.215988742418467,JAK2 & KLF1
722,FOG1/ZFPM1,GFI1B,0.21596014021862,FOG1/ZFPM1 & GFI1B
723,CD9,GFI1B,0.215659762090413,CD9 & GFI1B
724,CD61/ITGB3,CD9,0.215358592280622,CD61/ITGB3 & CD9
725,CD105/ENG,CD110/MPL,0.215358044475171,CD105/ENG & CD110/MPL
726,MCL1,TMOD1,0.215350737767338,MCL1 & TMOD1
727,CD61/ITGB3,CTNNB1,0.215265540384545,CD61/ITGB3 & CTNNB1
728,CLU,PIM1,0.215198995021111,CLU & PIM1
729,CD36,CD38,0.214885959011679,CD36 & CD38
730,CD36,EIF4EBP1,0.214867607640876,CD36 & EIF4EBP1
731,CD44,SRD5A3,0.214656552438238,CD44 & SRD5A3
732,MCL1,TUBB2A,0.214626372906975,MCL1 & TUBB2A
733,CD34,CD9,0.214427986794191,CD34 & CD9
734,CD9,GATA1,0.214317929572265,CD9 & GATA1
735,ETS1,GFI1B,0.214093520885468,ETS1 & GFI1B
736,CLU,ETS1,0.214059833199824,CLU & ETS1
737,DDB1,SDPR,0.213728235133838,DDB1 & SDPR
738,EIF4EBP1,FHL1,0.213709604736834,EIF4EBP1 & FHL1
739,SRD5A3,TMEM180/MFSD13A,0.21332704157079,SRD5A3 & TMEM180/MFSD13A
740,CD61/ITGB3,EIF4EBP1,0.213281294197348,CD61/ITGB3 & EIF4EBP1
741,GFI1B,P27KIP1/CDKN1B,0.213260070059969,GFI1B & P27KIP1/CDKN1B
742,CD117/KIT,DHRS3,0.21310846480222,CD117/KIT & DHRS3
743,CD105/ENG,CLU,0.212927547784626,CD105/ENG & CLU
744,HPRT1,SPI1,0.212815519876239,HPRT1 & SPI1
745,CDK6,FOG1/ZFPM1,0.212459011474682,CDK6 & FOG1/ZFPM1
746,FOG1/ZFPM1,GABPA,0.212417302334505,FOG1/ZFPM1 & GABPA
747,CTNNB1,TMOD1,0.212237722364251,CTNNB1 & TMOD1
748,CTNNB1,VWF,0.21213486462434,CTNNB1 & VWF
749,CD117/KIT,CD36,0.212101480986804,CD117/KIT & CD36
750,CD42/GP1BA,P27KIP1/CDKN1B,0.211945761573099,CD42/GP1BA & P27KIP1/CDKN1B
751,CD105/ENG,DHRS3,0.211941721673933,CD105/ENG & DHRS3
752,CD44,JAK2,0.211752810542778,CD44 & JAK2
753,FHL1,TGFB1,0.211524583119205,FHL1 & TGFB1
754,CD110/MPL,GABPA,0.210782384293445,CD110/MPL & GABPA
755,CD38,GATA2,0.21072941808042,CD38 & GATA2
756,CXCR4,EIF4EBP1,0.210270313681786,CXCR4 & EIF4EBP1
757,GFI1B,SPI1,0.209730527899159,GFI1B & SPI1
758,CDK4,SPI1,0.209715871398657,CDK4 & SPI1
759,CD36,CTNNB1,0.209632688065877,CD36 & CTNNB1
760,BIM/BCL2,LSD1/KDM1A,0.209595052101085,BIM/BCL2 & LSD1/KDM1A
