,Gene ID,A1P2MEP-A1_a1p2,A1P2MEP-A10_a1p2,A1P2MEP-A11_a1p2,A1P2MEP-A12_a1p2,A1P2MEP-A2_a1p2,A1P2MEP-A3_a1p2,A1P2MEP-A4_a1p2,A1P2MEP-A5_a1p2,A1P2MEP-A6_a1p2,A1P2MEP-A7_a1p2,A1P2MEP-A8_a1p2,A1P2MEP-A9_a1p2,A1P2MEP-B1_a1p2,A1P2MEP-B10_a1p2,A1P2MEP-B11_a1p2,A1P2MEP-B12_a1p2,A1P2MEP-B2_a1p2,A1P2MEP-B3_a1p2,A1P2MEP-B4_a1p2,A1P2MEP-B5_a1p2,A1P2MEP-B6_a1p2,A1P2MEP-B7_a1p2,A1P2MEP-B8_a1p2,A1P2MEP-B9_a1p2,A1P2MEP-C1_a1p2,A1P2MEP-C10_a1p2,A1P2MEP-C11_a1p2,A1P2MEP-C12_a1p2,A1P2MEP-C2_a1p2,A1P2MEP-C3_a1p2,A1P2MEP-C4_a1p2,A1P2MEP-C5_a1p2,A1P2MEP-C6_a1p2,A1P2MEP-C7_a1p2,A1P2MEP-C8_a1p2,A1P2MEP-C9_a1p2,A1P2MEP-D1_a1p2,A1P2MEP-D10_a1p2,A1P2MEP-D11_a1p2,A1P2MEP-D12_a1p2,A1P2MEP-D2_a1p2,A1P2MEP-D3_a1p2,A1P2MEP-D4_a1p2,A1P2MEP-D5_a1p2,A1P2MEP-D6_a1p2,A1P2MEP-D7_a1p2,A1P2MEP-D8_a1p2,A1P2MEP-D9_a1p2,A1P2MEP-E1_a1p2,A1P2MEP-E10_a1p2,A1P2MEP-E11_a1p2,A1P2MEP-E12_a1p2,A1P2MEP-E2_a1p2,A1P2MEP-E3_a1p2,A1P2MEP-E4_a1p2,A1P2MEP-E5_a1p2,A1P2MEP-E6_a1p2,A1P2MEP-E7_a1p2,A1P2MEP-E8_a1p2,A1P2MEP-E9_a1p2,A1P2MEP-F1_a1p2,A1P2MEP-F10_a1p2,A1P2MEP-F11_a1p2,A1P2MEP-F12_a1p2,A1P2MEP-F2_a1p2,A1P2MEP-F3_a1p2,A1P2MEP-F4_a1p2,A1P2MEP-F5_a1p2,A1P2MEP-F6_a1p2,A1P2MEP-F7_a1p2,A1P2MEP-F8_a1p2,A1P2MEP-F9_a1p2,A1P2MEP-G1_a1p2,A1P2MEP-G10_a1p2,A1P2MEP-G11_a1p2,A1P2MEP-G12_a1p2,A1P2MEP-G2_a1p2,A1P2MEP-G3_a1p2,A1P2MEP-G4_a1p2,A1P2MEP-G5_a1p2,A1P2MEP-G6_a1p2,A1P2MEP-G7_a1p2,A1P2MEP-G8_a1p2,A1P2MEP-G9_a1p2,A1P2MEP-H1_a1p2,A1P2MEP-H10_a1p2,A1P2MEP-H11_a1p2,A1P2MEP-H12_a1p2,A1P2MEP-H2_a1p2,A1P2MEP-H3_a1p2,A1P2MEP-H4_a1p2,A1P2MEP-H5_a1p2,A1P2MEP-H6_a1p2,A1P2MEP-H7_a1p2,A1P2MEP-H8_a1p2,A1P2MEP-H9_a1p2,A2P2MEP-A10_a2p2,A2P2MEP-A11_a2p2,A2P2MEP-A12_a2p2,A2P2MEP-A3_a2p2,A2P2MEP-A4_a2p2,A2P2MEP-A5_a2p2,A2P2MEP-A6_a2p2,A2P2MEP-A7_a2p2,A2P2MEP-A8_a2p2,A2P2MEP-A9_a2p2,A2P2MEP-B1_a2p2,A2P2MEP-B10_a2p2,A2P2MEP-B11_a2p2,A2P2MEP-B12_a2p2,A2P2MEP-B2_a2p2,A2P2MEP-B3_a2p2,A2P2MEP-B4_a2p2,A2P2MEP-B5_a2p2,A2P2MEP-B6_a2p2,A2P2MEP-B7_a2p2,A2P2MEP-B8_a2p2,A2P2MEP-B9_a2p2,A2P2MEP-C1_a2p2,A2P2MEP-C10_a2p2,A2P2MEP-C11_a2p2,A2P2MEP-C12_a2p2,A2P2MEP-C2_a2p2,A2P2MEP-C3_a2p2,A2P2MEP-C4_a2p2,A2P2MEP-C5_a2p2,A2P2MEP-C6_a2p2,A2P2MEP-C7_a2p2,A2P2MEP-C8_a2p2,A2P2MEP-C9_a2p2,A2P2MEP-D1_a2p2,A2P2MEP-D10_a2p2,A2P2MEP-D11_a2p2,A2P2MEP-D12_a2p2,A2P2MEP-D2_a2p2,A2P2MEP-D3_a2p2,A2P2MEP-D4_a2p2,A2P2MEP-D5_a2p2,A2P2MEP-D6_a2p2,A2P2MEP-D7_a2p2,A2P2MEP-D8_a2p2,A2P2MEP-D9_a2p2,A2P2MEP-E1_a2p2,A2P2MEP-E10_a2p2,A2P2MEP-E11_a2p2,A2P2MEP-E12_a2p2,A2P2MEP-E2_a2p2,A2P2MEP-E3_a2p2,A2P2MEP-E4_a2p2,A2P2MEP-E5_a2p2,A2P2MEP-E6_a2p2,A2P2MEP-E7_a2p2,A2P2MEP-E8_a2p2,A2P2MEP-E9_a2p2,A2P2MEP-F1_a2p2,A2P2MEP-F10_a2p2,A2P2MEP-F11_a2p2,A2P2MEP-F12_a2p2,A2P2MEP-F2_a2p2,A2P2MEP-F3_a2p2,A2P2MEP-F4_a2p2,A2P2MEP-F5_a2p2,A2P2MEP-F6_a2p2,A2P2MEP-F7_a2p2,A2P2MEP-F8_a2p2,A2P2MEP-F9_a2p2,A2P2MEP-G1_a2p2,A2P2MEP-G10_a2p2,A2P2MEP-G11_a2p2,A2P2MEP-G12_a2p2,A2P2MEP-G2_a2p2,A2P2MEP-G3_a2p2,A2P2MEP-G4_a2p2,A2P2MEP-G5_a2p2,A2P2MEP-G6_a2p2,A2P2MEP-G7_a2p2,A2P2MEP-G8_a2p2,A2P2MEP-G9_a2p2,A2P2MEP-H1_a2p2,A2P2MEP-H10_a2p2,A2P2MEP-H11_a2p2,A2P2MEP-H12_a2p2,A2P2MEP-H2_a2p2,A2P2MEP-H3_a2p2,A2P2MEP-H4_a2p2,A2P2MEP-H5_a2p2,A2P2MEP-H6_a2p2,A2P2MEP-H7_a2p2,A2P2MEP-H8_a2p2,A2P2MEP-H9_a2p2,A2P1MEP-D12_a2p3,A2P1MEP-E12_a2p3,A2P2MEP-A1_a2p3,A2P2MEP-A2_a2p3,P2-,A3P2MEP-A11_a3p2,A3P2MEP-A12_a3p2,A3P2MEP-A3_a3p2,A3P2MEP-A4_a3p2,A3P2MEP-A5_a3p2,A3P2MEP-A6_a3p2,A3P2MEP-A7_a3p2,A3P2MEP-A8_a3p2,A3P2MEP-A9_a3p2,A3P2MEP-B1_a3p2,A3P2MEP-B10_a3p2,A3P2MEP-B11_a3p2,A3P2MEP-B12_a3p2,A3P2MEP-B2_a3p2,A3P2MEP-B3_a3p2,A3P2MEP-B4_a3p2,A3P2MEP-B5_a3p2,A3P2MEP-B6_a3p2,A3P2MEP-B7_a3p2,A3P2MEP-B8_a3p2,A3P2MEP-B9_a3p2,A3P2MEP-C1_a3p2,A3P2MEP-C10_a3p2,A3P2MEP-C11_a3p2,A3P2MEP-C12_a3p2,A3P2MEP-C2_a3p2,A3P2MEP-C3_a3p2,A3P2MEP-C4_a3p2,A3P2MEP-C5_a3p2,A3P2MEP-C6_a3p2,A3P2MEP-C7_a3p2,A3P2MEP-C8_a3p2,A3P2MEP-C9_a3p2,A3P2MEP-D1_a3p2,A3P2MEP-D10_a3p2,A3P2MEP-D11_a3p2,A3P2MEP-D12_a3p2,A3P2MEP-D2_a3p2,A3P2MEP-D3_a3p2,A3P2MEP-D4_a3p2,A3P2MEP-D5_a3p2,A3P2MEP-D6_a3p2,A3P2MEP-D7_a3p2,A3P2MEP-D8_a3p2,A3P2MEP-D9_a3p2,A3P2MEP-E1_a3p2,A3P2MEP-E10_a3p2,A3P2MEP-E11_a3p2,A3P2MEP-E12_a3p2,A3P2MEP-E2_a3p2,A3P2MEP-E3_a3p2,A3P2MEP-E4_a3p2,A3P2MEP-E5_a3p2,A3P2MEP-E6_a3p2,A3P2MEP-E7_a3p2,A3P2MEP-E8_a3p2,A3P2MEP-E9_a3p2,A3P2MEP-F1_a3p2,A3P2MEP-F10_a3p2,A3P2MEP-F11_a3p2,A3P2MEP-F12_a3p2,A3P2MEP-F2_a3p2,A3P2MEP-F3_a3p2,A3P2MEP-F4_a3p2,A3P2MEP-F5_a3p2,A3P2MEP-F6_a3p2,A3P2MEP-F7_a3p2,A3P2MEP-F8_a3p2,A3P2MEP-F9_a3p2,A3P2MEP-G1_a3p2,A3P2MEP-G10_a3p2,A3P2MEP-G11_a3p2,A3P2MEP-G12_a3p2,A3P2MEP-G2_a3p2,A3P2MEP-G3_a3p2,A3P2MEP-G4_a3p2,A3P2MEP-G5_a3p2,A3P2MEP-G6_a3p2,A3P2MEP-G7_a3p2,A3P2MEP-G8_a3p2,A3P2MEP-G9_a3p2,A3P2MEP-H1_a3p2,A3P2MEP-H10_a3p2,A3P2MEP-H11_a3p2,A3P2MEP-H12_a3p2,A3P2MEP-H2_a3p2,A3P2MEP-H3_a3p2,A3P2MEP-H4_a3p2,A3P2MEP-H5_a3p2,A3P2MEP-H6_a3p2,A3P2MEP-H7_a3p2,A3P2MEP-H8_a3p2,A3P2MEP-H9_a3p2
21,CD117/KIT,16.63229088,15.94105213,16.94599381,18.84889891,15.14431177,,18.27352805,17.51641798,18.37246585,16.4860115,,18.08879224,17.27913393,19.06399536,17.2706052,,16.91585087,18.08121855,18.02338492,,,18.924052,17.3906969,18.99499403,16.69320367,,19.73000326,17.0962056,17.51560798,18.83742361,16.97592088,16.58115337,19.38777406,19.35073138,,,18.07891158,17.72841703,,17.83994612,17.94430351,16.37785439,17.83886639,17.90082647,17.82126423,17.96314587,17.87932585,16.7858021,16.58286964,19.03015531,,17.44348805,17.88783962,16.41942545,17.77411192,19.46351964,17.82177808,,15.32584579,19.1202484,18.22105217,16.27148162,17.257051,15.38232094,22.64591875,19.55593239,19.12763878,19.21861621,,15.75370845,16.21529476,,,,16.66618601,,,15.04909807,18.87382053,17.399373399999998,,17.91102492,17.77725987,17.18262314,14.15633274,16.840035399999998,18.87407141,17.20492332,18.25852768,17.61719847,18.21945404,17.92481342,18.04997345,17.79655297,17.00531095,18.88725176,17.4451827,15.15099412,14.46928299,16.43275608,15.36728113,14.90578306,14.74812762,16.03785797,16.255614,14.67678057,16.42062877,17.15316538,18.19006418,16.01233212,13.75694183,14.18795207,15.20062068,16.72604883,16.28227243,19.04938373,16.73303151,14.87911231,17.67894307,,14.65985504,14.37420497,15.84385156,,15.31240417,17.287125500000002,17.39334832,,17.88119408,17.13162595,14.23831372,16.26134095,18.34279076,16.7613436,14.75714314,15.0047159,13.94374654,15.90946711,15.74290001,16.6730707,15.66933692,15.62445553,16.76870369,16.059917600000002,16.62799879,15.76429242,15.77953503,14.72767236,18.36971334,16.87746782,14.06989775,15.92791079,15.90286486,,14.39739884,17.06793921,16.40238307,13.74616436,15.09213018,17.34987659,15.59200074,14.03620746,16.89241974,15.82121826,16.48754676,16.94727392,13.60271287,14.62922604,16.36350344,16.73011602,17.73544999,14.83302978,15.34574926,17.48525393,15.35448378,18.06414726,17.6237049,,13.18083719,17.80431701,14.37629666,14.37512711,13.32300873,10.37813019,14.62731305,14.42324649,16.01061919,15.27626074,14.5376326,17.34585314,15.59800059,16.46271387,15.86649043,17.57612567,15.63036158,15.32430798,12.92355132,13.67713282,14.53658125,14.67491562,16.69757221,13.93113706,15.15538372,16.31042748,16.52483285,15.01982071,14.643754000000001,15.75548656,,16.29408822,16.47310522,14.540386300000002,15.95419123,17.46574304,,12.15706569,17.57440356,17.38782168,12.99671469,15.48568805,,16.00242296,16.60851836,16.81372475,17.66775636,,13.87664625,16.57865296,15.901273499999999,13.88665968,14.65374376,14.798778500000001,13.53212983,12.91003978,17.61492781,13.70952538,17.96163344,13.56380501,14.48815072,,15.75346054,13.96640437,15.56989735,15.01682666,12.97005992,15.38934637,15.68810876,15.17328975,,16.94971863,15.49983738,14.78464341,16.33659351,13.63277945,17.37779865,15.45090038,14.30707464,14.41497617,15.81370863,14.02976792,15.48114316,13.74610651,,,16.24797965,13.3221266,15.15493542,15.68202563,14.14025473,16.95610331,15.88858603,,15.47771239,13.77141942,15.88010624,,15.06032277,12.72674027,,,,13.79372303,,14.84351478,13.59021649,13.2691126,,15.16177532
23,CD123/IL3RA,,,,,,,,,21.69274679,,,,21.66784514,,,20.70382036,,20.51074278,,,,,21.65304076,,,21.62545692,,,,21.42494705,,,26.46572691,,19.77105607,20.53683195,20.69651603,,,20.75756236,,,,,,,20.87427157,,,,,,,,,20.75086664,,,,,20.55772812,,,,,20.79229034,20.12902477,20.80291324,19.8393964,,,20.60215479,,19.662170800000002,,,,,,,22.29754234,20.35519696,25.08894147,,,,,,,,,20.731045899999998,,20.41341108,,,,,,,,,,,,,,,,,,,,,,,17.75239123,,,,,,,19.22503134,,,,,,,,,,,,,,,,,,,,,,,,,22.69567113,,,,,,,,,,,,,,,,20.21392847,,,,,,18.11694772,,,,,,,,,,,,17.76499684,,,,,,,,,,,,18.42321399,,,,18.40649459,,,,,,24.56285778,,17.19798103,,,,18.87949797,,18.86013799,,,,,,,,18.35746747,18.82188222,,,,,,18.77579122,19.61464771,,,18.97770056,,,,17.79437183,,,,,,,,18.13716262,,,,,24.16918151,,24.91511698,,,18.21216983,,,,16.37330483,18.95093158,,,,,19.94121466,,,,,,,,,,,,,,,,,18.2216195,,,,,,,17.94706322
25,CD135/FLT3,,19.06372485,,,,,,,,18.87684466,,,18.37309329,,,,,18.62805264,,19.21204704,,,,17.47233786,,,,22.53633952,,19.34984804,,,,18.91658216,18.596597600000003,17.84434007,,18.91884509,,,,,,,,,,,,,,,,,,,,,,,,,,17.94704033,,,,,,,,18.7697609,,,18.0900688,,,,,,,,,,,18.67510389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.80323516,,,,18.97476581,,,,,,,,17.85366821,,,18.9261457,,,,,,,18.77825977,,,,,,,,,,,,,,,,,,,,,,,,17.92328573,,,,,,17.69594527,,,,,,16.85020896,,,,,,,,,,,,,,,,,,16.98491917,,,16.84189043,15.72337159,,,,,,17.25423398,,,,,,,,16.92663674,,,,,,,,,,,,,,16.15584662,16.16333664,,,,,,,,17.12096189,,,,,,,17.12401515,,,15.94050262,,,,16.419747,,,,,,,,,,,,,,,,,,,,,,,,,17.03311282,,,,,
27,CD150/SLAMF1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,CD235a/GYPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.65792509,,15.97328448,,,,,,17.93489954,,14.54882202,,,,,,,,12.73585988,,17.83225399,,,,,,,,19.35288602,16.74579105,,,12.32539268,,,,,,,13.44666364,,,,,17.95032399,16.66424685,,,,,,,15.30713078,,,19.33612153,,,,,,,,,,18.01986544,,,,,,,,14.63902582,,,16.14149321,,,,,,,,,17.55660339,,15.45481074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,,12.53485528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,CD34,17.33078756,14.19478715,16.34968825,16.28480843,16.23854851,17.44003182,16.37950673,15.67674338,15.65781471,15.29478276,17.68314687,15.37106052,15.04202696,15.82860482,15.79133178,16.43431209,17.21801361,,16.17918231,16.23753515,18.93809068,15.31213909,15.12912669,15.91023852,18.48469844,17.44548227,19.85835503,15.63085603,15.93140488,15.58747702,17.2268338,17.54486581,16.32204329,15.92836119,15.11036773,15.35756395,16.62211139,16.24073913,18.81404504,16.62211679,17.34847586,18.32607397,17.38224812,17.89337025,17.19831486,15.57754688,15.10711782,15.67978533,16.40394729,19.468876,15.98545141,15.80272779,16.65803017,16.5165565,16.87474793,16.91868342,15.24180389,17.84509986,17.19260284,19.21158945,16.30816252,15.23462507,17.37064751,15.53815562,14.50058985,15.36029702,17.80994806,15.72536633,20.39883594,14.8670757,18.58783863,15.33599749,20.29772309,14.91375355,16.59808287,,15.55478438,,17.53532626,15.643055599999999,16.52647185,16.266113,16.12995252,15.32275821,,14.60571574,16.33375061,,16.81588667,16.56078038,15.777168099999999,16.74318846,17.30096485,16.69222764,15.36595824,18.49198125,16.27604542,17.94539558,13.77591127,18.49569543,16.96422598,13.9425018,,17.91070427,15.64255701,15.14786003,,15.16164942,16.64543625,15.78717157,,15.69284023,15.37975413,15.37128467,15.88182454,19.171446399999997,14.77666753,15.51355481,15.85352175,,15.44444455,12.8814117,14.60686985,14.12750081,14.85724739,15.56567674,16.69037193,15.85682447,17.01839245,17.42078537,15.39824042,17.54059784,18.87666073,14.79617163,13.69337141,16.63065625,15.78055702,14.31383297,14.247836999999999,17.18479133,16.94854168,17.01726618,16.69885309,18.2665431,15.56506861,16.62706871,,16.16581957,15.47902627,14.83377488,,17.3747783,18.46454954,15.61212784,14.48934502,16.98603282,16.37990833,22.24389353,15.09102713,14.59543301,14.88402006,15.53879318,16.08694007,13.36364557,14.85614285,16.02917195,16.91963032,14.60883181,15.60920382,15.96875773,14.74816564,13.06421816,13.33693997,15.05926338,16.49845103,17.69897053,16.2538165,14.92650875,12.62275731,17.37427679,16.41403177,15.85538025,13.63367101,,14.51648856,14.60791865,17.44480482,18.01625995,14.82031979,13.528152300000002,13.17527449,16.64247383,15.98514937,17.7304831,13.0732371,14.64399206,,17.484480800000004,13.03629264,,15.44268826,13.4741415,14.64970999,17.27594712,14.78939998,15.1978821,13.18026596,15.62732542,15.55160275,14.5461902,14.00666654,,13.48826897,,14.41919428,,17.15250542,12.99297176,,13.326039499999998,13.65266772,14.95814445,,16.3718957,13.61821539,15.38671265,,13.59458324,13.63537101,14.59923529,13.86362019,,,16.7574918,13.95371705,12.68710275,14.63950844,16.45993383,,14.77194564,15.99120729,16.66845113,16.94738517,13.95025253,15.98782517,,15.25023321,15.24614601,15.35803598,18.13945079,14.83914046,,,12.92804547,,13.96227891,14.71464635,14.657444,14.81465592,16.6165557,14.98437836,18.49299506,15.11142228,16.43613594,15.27175101,12.71619944,13.15999677,14.29361737,13.72371297,13.03529992,13.70656781,14.11802306,16.87789732,15.90170555,14.53116281,13.95434686,14.28513546,15.13435033,13.78485014,16.77423348,14.375559599999999,,13.1897113,14.22293136,14.15992336,14.18412161,15.70190493,15.02483041
33,CD36,,,,,15.86124742,,,,,,,,,,,,,,,,,17.47929511,,,16.80728838,,,18.58581949,,,,15.72331278,,,,,,,,,,19.58165891,,,,,,,,,,18.62778191,17.7934758,,,,,,,,,15.6958845,,,,,,,,,15.28611839,,,,,,,14.64323146,,,,,,,,,,,,,,,,,,,,16.49061294,,,17.84263223,15.46116201,,14.54679926,,,9.624217685,,,,13.43720759,17.28265795,,,18.79863629,,,17.82768894,15.37847398,,,,,,,,,,,18.62889501,,,14.77472527,16.89000368,14.95415574,15.02740531,16.6309128,,,13.79044802,17.06477939,,,,,16.89092793,17.27049201,18.23585519,,,22.00308098,,15.68951978,,,,,16.3161757,,,,15.21842869,,,,,16.31253053,,,,,,,,17.96910131,,14.71956386,,,,17.14734731,15.6182354,,12.89879733,,,18.43914045,15.67451356,,,,,,13.63524382,,,14.46071918,14.33921041,,13.5512161,14.53689423,,14.30902286,,,,,,13.18806955,,,13.05079436,,17.66641296,15.84748964,,,,14.37620276,,,,13.36260756,12.83486446,14.13916213,,13.98190962,,,,,,,12.06666708,,,,16.48546581,13.62017645,14.29350289,13.95680436,,14.40895987,18.66678418,11.28845693,,16.29650362,,,,,13.92360357,,,14.10586417,,,,,17.885116800000002,15.41185946,12.85596799,,,,,,,13.83285854,13.40886116,13.78950792,,,,,,,,,,,14.01392417,,,,13.39388267,,
35,CD38,,17.92438864,,19.096115,18.38010056,,,,,,,18.65953958,18.74775673,19.41466098,21.4978358,21.83257498,20.04689498,,18.22134277,,,,,21.1303923,18.26315178,,20.60706615,20.36830471,,,,18.99256131,,,,19.55213562,,19.769764399999996,,,21.44730576,18.40571793,20.59136768,,,,,,,,,17.44649164,17.21458209,20.14299832,19.89346314,,,,18.96172788,,,17.37155762,20.02089047,18.7008701,20.17896708,24.032182199999998,,19.92208033,18.96949102,,18.36007187,,,19.61594549,20.31597508,,,20.1078948,,20.03745197,,,19.93701429,18.82247639,18.55207123,19.19682219,,,,,19.82453679,,,,,19.69330888,20.17349278,18.66383297,,19.03936706,16.3921377,16.52260779,17.13462173,,17.49716865,19.31336851,,19.25994054,18.35458712,17.43936446,18.76940702,18.10805458,19.35281026,16.92765868,18.04160703,,17.06302373,17.28821601,17.93339794,,,16.47953976,,19.0397215,16.19909308,,18.94505219,,,20.07687589,20.47388228,19.619007500000002,19.33545564,19.99331338,17.51728375,18.7763573,17.89185369,19.32029498,19.22089949,18.12200246,,19.83438396,19.00523622,18.14246996,,18.90349509,18.25005317,19.60931322,19.0191917,19.18616833,,18.41120083,,,17.48524897,19.09322815,,18.08409515,19.01331805,19.7627653,18.94415818,17.25544835,18.66146793,18.33849495,,17.76583021,16.45127338,16.28163721,,19.12742847,19.27826814,,,19.27868122,17.82425062,,22.84327029,18.99480404,18.30716055,,19.94078095,,,,,18.34447616,18.52792297,18.12165541,,19.38352085,19.93064615,,,18.02550401,20.02155001,19.54520283,,17.39514258,19.49166502,,17.34954191,,17.67035948,18.41588751,19.66144907,21.56924477,,18.12893708,18.02757373,,,19.50828487,18.189386,18.63023633,19.35593567,,,,18.91085543,,17.71141279,,17.1977232,16.69200722,19.89601759,20.05087563,19.49164234,,19.97483028,,,21.23569503,18.9134174,,,16.95063291,,18.5615942,,17.81822864,17.62156177,20.82935274,20.42268499,20.50927472,,,,,,,,20.71710405,,17.81752513,16.93540994,19.9959516,,,,,,17.50388239,,20.8602816,,,21.66609843,19.48038314,19.155191000000002,19.81518235,19.89512331,,19.22129614,19.71547995,18.61794347,19.54599957,18.94526124,16.04357441,,22.29129212,,19.09145673,,,18.91167285,15.96640847,,20.28901747
37,CD41/ITGA2B,,14.30431606,,17.26438181,18.01406069,,,,18.44024172,17.34347504,,,,,,,,,14.87282622,,,15.70773154,,,13.93994848,,14.03985043,13.77213288,24.65354759,,,14.23618289,,,,,,,,,,13.90990463,18.43788263,,,,,,,,18.57634891,16.29978213,15.99392389,14.00626689,14.99970473,,,,,,,13.702032699999998,,,,,,,18.56543169,,13.2412739,,13.38103334,13.13515081,17.56851207,,18.26600797,14.82729595,,19.32559828,15.30371447,,15.24800592,,13.58608221,,17.11000423,14.65877037,,,,,,,,,16.31363519,14.45300939,,16.53909541,12.15365515,14.80505537,12.50733106,13.22263608,,14.46494815,,,14.43736808,14.724854,11.21965693,12.06541135,,17.12408303,14.63672056,13.35041928,,12.67991465,12.62978491,,15.073920300000001,,,16.6766042,12.21045797,,,10.43547194,14.06965239,15.17901134,,,13.1744494,12.43456351,13.52881898,12.49410573,12.17476638,,,12.40398096,14.09441343,15.426251800000001,13.27305282,16.61834255,,11.01052216,13.09860447,12.67020665,17.39410537,,14.5,15.46446685,13.93919465,,12.35129109,,,13.23074427,,,,11.2276221,,,,12.85644534,11.27447148,17.40184266,,12.51762064,,,,11.10831825,13.94305542,15.98602191,12.05262389,14.88941952,,,11.65786178,13.23772414,,10.53118162,,,,12.36292066,,9.504842242,,15.82131404,13.56392839,13.40766151,,,13.4976397,12.79651565,16.28901952,11.49488045,11.57992995,14.32221578,12.37348112,10.95272597,,16.58383135,16.25071122,,11.0392344,,,13.15706114,,13.38004014,9.771184372,10.332887300000001,,16.14508208,12.14161209,14.37375085,,,11.18289235,11.40367803,11.905395599999999,13.41226376,11.62273922,,,13.82102658,,,11.10007407,11.22769102,,,,13.90230276,,11.60678248,13.97837728,11.27860625,12.16093657,21.41904301,10.83216136,,12.61815445,13.695229699999999,15.83199246,16.83713886,,11.54573417,,,11.77504464,14.40703971,12.33811116,15.89039659,,14.06896678,13.42839864,12.60493953,,,,,16.43100914,16.9092095,10.95018628,14.27034169,10.79614599,,,16.865979199999998,12.72666763,16.50883138,17.36411658,10.4091808,,14.92418721,13.792148000000001,10.99126797,,11.55336643,15.48098063,10.74829405,,14.30128396
39,CD42/GP1BA,,18.65074517,,20.66527721,,25.94617924,18.4545455,19.82707064,,19.702068399999998,19.75025892,21.21568764,17.768492000000002,18.1066282,18.69958157,20.38200789,18.97880938,19.51185562,,18.79682298,19.21114601,,19.24324348,18.42357532,19.24032203,18.45169987,,20.6333925,18.76738056,,20.90482263,16.59847839,26.21554728,,17.34599217,17.73516064,18.49416049,,19.70170806,20.29636616,19.60983059,18.03917049,19.55187035,23.62723583,,,19.18310454,19.4559793,22.88334312,19.62672327,19.68859344,19.56980941,,15.59619052,20.27609849,19.51052169,18.48937688,,19.62901829,19.32999552,19.37455457,18.45864062,18.12199352,18.41592455,19.29840157,19.89726862,20.31560143,17.87084742,20.56975364,18.42027788,,19.10975409,15.49075354,15.87245881,17.97356271,19.43675005,18.36873766,18.70074376,,,18.56186969,19.26382238,19.37208837,18.98766785,,19.43748208,19.06836628,23.15504277,,18.54866396,18.64776996,,20.15795273,18.319011,19.23355111,19.10748338,20.307374199999998,24.65278613,17.926456100000003,19.8917928,16.80181449,17.14498812,18.69685748,17.91227152,18.65738035,17.70335369,,,17.71483301,16.68793255,16.6228615,16.2290556,,17.60726717,19.10095573,15.72798558,18.04313709,18.49030576,15.63585846,,17.20391802,16.54920458,,18.06798574,17.32887339,16.28127443,17.82496087,13.31898342,24.65864074,23.9455898,16.71050615,18.54515059,18.29671805,21.00998833,16.37020469,,18.32122063,21.85261649,17.84281411,15.70937567,16.18180111,,15.73130911,,27.05229049,16.30231746,17.66947767,17.02156528,,25.46788643,,20.21711831,24.793651800000003,17.668287,19.60488291,20.79643927,19.20787426,16.74544853,,17.25629241,18.84129689,16.72394004,19.46404706,16.99024943,18.79428248,16.90652628,16.00054116,18.16788072,20.13449463,18.41061721,17.18171675,17.20265089,18.16110666,17.86997773,18.69561773,18.73715176,15.43214672,17.39938686,17.63992587,22.18518052,17.682277600000003,17.96906336,,17.27400049,16.85371726,16.80834655,,17.89686746,17.25372769,12.82178088,16.63358445,,17.94975954,16.68543255,17.55386324,17.99950991,18.0105509,17.21813291,,23.739176800000003,14.65082371,15.31446008,18.1185309,15.98414934,18.14852956,20.94153029,21.22413439,16.99470865,,17.83955647,,15.97396795,17.64732102,16.25422016,12.80798906,17.73083474,17.909971399999996,17.02363757,,15.96328607,,20.81432908,17.65914575,18.03115516,15.08649288,15.38683561,19.00722726,17.917627300000003,,,17.7204388,18.06176539,18.29800543,17.7933222,17.86111897,,17.11872361,17.77131623,,16.76062591,25.51691468,17.12077822,17.89783369,17.03010825,18.12250829,18.30174396,17.76383156,16.28854213,16.47888197,17.46243431,23.36558561,15.797217600000002,16.74072218,18.50683217,15.38616161,16.75766983,17.83400363,18.01847313,17.93068176,16.89407229,,,,19.14043153,,17.66026893,16.5284689,18.01761838,15.85312261,16.7020533,14.84924647,,17.72581004,,18.06336315,16.82193113,20.11565597,17.77086598,15.30168829,13.34813538,17.18937898,17.03194712,16.70749335,14.94925886,,,17.83212121,
